name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"국내산 늙은 호박 1입, 2kg(1입), 1봉",17,24900,20570,"(100g당1,029원)",내일(일) 새벽도착 보장,2547,1029,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1369721460740130-2e362b66-28d2-49d8-a383-91695743d9d1.jpg
"곰곰 국내산 구운 단호박, 100g, 6개",,,10900,"(100g당1,817원)",내일(일) 새벽도착 보장,704,545,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1206911712700626-e0d13d94-1147-4559-957f-0b63773d6e79.jpg
"국내산 땅콩호박, 500g, 1봉",,,3980,(100g당796원),내일(일) 새벽도착 보장,686,199,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1138071155272575-62776dbe-f7d4-4701-b712-632c0a91a0a1.jpg
"국내산 둥근 호박, 1개입, 1개",40,4190,2490,"(1개당2,490원)",내일(일) 새벽도착 보장,6722,125,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4002586507876766-10e92ff9-71cf-421c-9422-11ec1207918c.jpg
"국내산 늙은 호박 1입, 2kg(1입), 1봉",17,24900,20570,,,59,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1369721460740130-2e362b66-28d2-49d8-a383-91695743d9d1.jpg
"곰곰 국내산 구운 단호박, 100g, 6개",,,10900,"(100g당1,817원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1206911712700626-e0d13d94-1147-4559-957f-0b63773d6e79.jpg
"곰곰 국내산 구운 단호박, 100g, 1개",,,2150,"(100g당2,150원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9259274174051340-ced12613-7e2a-4253-8287-d1fcc6e588aa.jpg
"국내산 둥근 호박, 1개",36,7790,4980,"(1개당2,490원)",,42,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4002653364266857-715de12c-0ee6-4811-a2ec-d95d126611a6.jpg
"국내산 둥근 호박, 1개",40,4190,2490,"(1개당2,490원)",,34,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4002586507876766-10e92ff9-71cf-421c-9422-11ec1207918c.jpg
"국내산 땅콩호박, 500g, 1봉",,,3980,,,48,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1138071155272575-62776dbe-f7d4-4701-b712-632c0a91a0a1.jpg
