name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"곰곰 짜서쓰는 다진 생강, 300g, 1개",,,7970,(10g당266원),내일(일) 새벽도착 보장,2737,399,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1278105909869753-42850957-1f5a-44a7-be06-06b809bd0c39.jpg
"엔젤식품 짜서쓰는 다진생강, 150g, 2개",,,8000,(10g당267원),내일(일) 새벽도착 보장,804,400,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/12/11/15/5/77254004-d295-4b91-93da-c07a9c62793b.jpg
"엔젤식품 국내산 다진생강 큐브 (냉동), 180g, 2개",,,9800,(10g당272원),내일(일) 새벽도착 보장,1700,490,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1007708388538491-aafa401e-144b-4dd8-a597-5a6e693dcef2.jpg
"나무새 다진 생강 (냉동), 600g, 1개",,,15000,(10g당250원),내일(일) 새벽도착 보장,138,750,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1914234120485595-f16c4016-c5b7-40b9-be58-ad1b2f14c955.jpg
"가나 큐브형 다진생강, 155g, 1개",,,5590,(10g당361원),내일(일) 새벽도착 보장,282,280,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/q5ltfhr1/afd79f47a6294e468cf113c98dc5484d.jpg
"농우 간편 뚝딱 다진생강 (냉동), 1kg, 5팩",1,25900,25500,(10g당51원),내일(일) 새벽도착 보장,103,1275,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/714727371294559-1b182bcc-2ba3-455b-b7b3-b9f5c600ff59.jpg
"클럽네이처 간편 다진 생강, 250g, 1개",,,8750,(10g당350원),내일(일) 새벽도착 보장,1296,438,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/37956500181227-287bc199-3d16-476b-ae48-42bfd119678e.jpg
"나무새 다진생강 (냉동), 400g, 1개",,,13500,(10g당338원),내일(일) 새벽도착 보장,152,675,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/12/03/15/8/702534dc-bd57-487b-bb21-2202eb0b04cc.jpg
"가나 요리용 다진생강, 100g, 1개",2,4290,4180,(10g당418원),내일(일) 새벽도착 보장,323,209,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/11/14/15/1/69ec859b-b2ef-4c36-8acf-e84bd610d20b.jpg
"풀무원 다진생강 튜브, 80g, 1개",,,5880,(10g당735원),내일(일) 새벽도착 보장,2002,294,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/08/25/11/3/599a32c2-799a-4a5c-8773-89eb581fb3b5.jpg
"곰곰 짜서쓰는 다진 생강, 300g, 1개",,,7970,(10g당266원),,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1278105909869753-42850957-1f5a-44a7-be06-06b809bd0c39.jpg
"농우 간편뚝딱 국내산 조각 다진생강 (냉동), 400g, 2개",,,12900,(10g당161원),,32,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/18/11/9/7f31bd96-9ecc-48da-a95e-0f108f600d45.jpg
"그린피아 냉동 다진생강 (냉동), 270g, 3개",,,18900,(10g당233원),,88,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/12/16/6/757222cd-7e74-4ccb-b866-5e30cf0350b1.jpg
"클럽네이처 간편 다진 생강, 250g, 1개",,,8750,(10g당350원),,98,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/37956500181227-287bc199-3d16-476b-ae48-42bfd119678e.jpg
"곰곰 국내산 다진생강, 300g, 1개",,,7850,(10g당262원),,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2625418114399677-d3dd0ae4-c479-46a2-a5a6-9840304b4f46.jpg
