name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"곰곰 국내산 흙당근, 3kg, 1개",4,17800,17000,(100g당567원),내일(일) 새벽도착 보장,191583,850,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1163147790028356-057a08d1-7822-498e-8f42-fc8b739c725a.jpg
"친환경 흙당근, 1kg, 1개",26,9800,7230,(100g당723원),내일(일) 새벽도착 보장,22108,361,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/99668613232231-08110c54-9b33-4180-afa8-6e23d161b59b.jpg
"국내산 유기농 당근, 1kg, 1개",,,11690,"(100g당1,169원)",내일(일) 새벽도착 보장,3691,585,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/251676051608470-0a8a0efc-1cba-43be-a651-f0062dad9fbb.jpg
"곰곰 국내산 흙당근, 1.5kg, 1봉",10,9980,8970,"(1개당8,970원)",내일(일) 새벽도착 보장,4292,449,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4635479044632869-e60135b6-e449-4257-befb-6d1111f419b6.jpg
"곰곰 밀양 흙당근, 1.5kg, 1개",,,10690,(100g당713원),내일(일) 새벽도착 보장,16837,535,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/854768247172946-1d98de48-027f-462e-b38d-2bbc2623d8a3.jpg
"국내산 친환경 세척당근, 1kg, 1개",5,9480,8990,(100g당899원),내일(일) 새벽도착 보장,15036,450,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1387991696374828-bebc6b7a-c9f2-4682-9894-86faba10d6d9.jpg
"곰곰 주스용 세척당근, 3kg, 1개",,,17990,(100g당600원),내일(일) 새벽도착 보장,1510,900,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1095585453642860-1680c8b0-610c-4674-a9b2-8d5a70682153.jpg
"국내산 흙당근, 5kg, 1개",,,28000,"(1개당28,000원)",내일(일) 새벽도착 보장,2816,1400,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1093470008411158-819f9374-f4e0-4949-b3a0-3eaf7be95b23.jpg
"중국산 세척 신선당근, 5kg, 1박스",,,11440,"(1개당11,440원)",내일(일) 새벽도착 보장,665,572,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4868117628460188-c40989b4-1d7c-4352-b55e-c7dfa20e4948.jpg
"곰곰 친환경 흙당근, 1.5kg, 1개",,,12990,(100g당866원),내일(일) 새벽도착 보장,6961,650,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1836067149440220-806c2b1d-bbd7-47dc-bb0a-7170160034c5.jpg
"국내산 주스용 흙당근, 1kg, 1개",,,5900,(100g당590원),내일(일) 새벽도착 보장,4579,295,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3758464034488497-e2666702-e35b-4512-829a-0fc105192c72.jpg
"못생겨도 맛있는 세척당근, 1.5kg, 1개",30,10600,7420,(100g당495원),내일(일) 새벽도착 보장,12881,371,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5998249449779104-fefc810b-1ee1-4609-b17b-d91ddd55aa9e.jpg
"곰곰 국내산 세척당근, 1kg, 1개",,,6500,(100g당650원),내일(일) 새벽도착 보장,52608,325,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/11212447683069-6ec4c3ac-8cac-4092-bacf-a7e3f11cb1b9.jpg
"국내산 친환경 흙당근, 500g, 1개",,,4990,(100g당998원),내일(일) 새벽도착 보장,14794,250,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/310253728728711-f0e4ae58-292e-4304-8dce-aafd4b8db467.jpg
"국내산 세척당근, 600g, 1개",,,4990,(100g당832원),내일(일) 새벽도착 보장,8091,250,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1425108039418160-86737273-623b-401f-9d94-7b2bd9fa3b6e.jpg
"미니 당근, 300g, 1개",3,5590,5420,"(1개당5,420원)",내일(일) 새벽도착 보장,4480,271,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/aa07/ffd9619ff312f0e2533128c3235591d4f83a1b486607d5cfd7b8ac07d435.jpg
"친환경 당근, 2입, 1개",,,4090,"(1개당2,045원)",내일(일) 새벽도착 보장,3980,205,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5234889409644224-254e5386-a1d2-4969-b658-f1ed979685d8.jpg
