name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"해슬로 국내산 참대구 토막 (냉동), 1kg, 1개",,,13990,"(100g당1,399원)",내일(일) 새벽도착 보장,515,700,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/24/17/1/91358802-3654-479e-99bc-3b0072871178.jpg
"서풍 대구포(전감) (냉동), 400g, 1개",,,10840,"(100g당2,710원)",내일(일) 새벽도착 보장,1408,542,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/02/08/4295981136/cdf94d31-4dff-448b-acce-a30aba4d047a.jpg
"해슬로 대구 순살 (냉동), 500g, 1개",,,15640,"(100g당3,128원)",내일(일) 새벽도착 보장,103,782,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/09/30/11/1/6bb1db07-9379-4712-a1a6-11054e47fd70.jpg
"국내산 송도씨 손질 대구 (냉동), 1개, 400g(1미)",,,12490,"(100g당3,123원)",내일(일) 새벽도착 보장,,625,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/okkihxt7/b00d1a474653494ebe1fc4c0b9114bc6.jpg
"PRIMIE어 담백하고 두툼한 민대구살 (냉동), 870g, 1개",,,17900,"(100g당2,057원)",내일(일) 새벽도착 보장,69,895,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/12/14/5/87be5bb9-adbe-4331-b59e-976cea68361c.jpg
"씨슬림 순살 대구 3개입 (냉동), 285g, 1개",,,10900,"(100g당3,825원)",내일(일) 새벽도착 보장,3,545,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/2uxkxizh/89ecf628a9ed47be88b378e7c0b80afd.jpg
"선동 대구살 (냉동), 100g, 2개",,,15300,"(100g당7,650원)",내일(일) 새벽도착 보장,6,765,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3375538647433549-66b12f68-7aa7-4940-8e79-755fbb0c2b3c.jpg
"올바른수산 대구 슬라이스 (냉동), 300g, 1팩",,,8980,"(100g당2,993원)",내일(일) 새벽도착 보장,94,414,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/05/23/17/1/11ec25f9-7b46-4110-9542-148cd08a5be4.jpg
"생선파는언니 미국산 순살 참대구 (냉동), 1개, 300g",,,10390,"(100g당3,463원)",내일(일) 새벽도착 보장,1,468,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/rssmyut9/b3de6a3d396a4fcc83b9bc7a24098a69.jpg
"생선파는언니 손질 대구 (냉동), 500g, 1개",,,9230,"(100g당1,846원)",내일(일) 새벽도착 보장,1,461,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/10251690790362422-84a7322a-a8ab-4232-8112-8e3feaa0b0ee.jpg
