name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"국내산 깐더덕, 200g, 1개",9,11980,10900,"(100g당5,450원)",내일(일) 새벽도착 보장,4741,545,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/187484749062353-248d4035-b742-4ccc-abdd-e9d60d5f4b0f.jpg
"제주 깐더덕, 300g, 1개",10,17890,15990,"(100g당5,330원)",내일(일) 새벽도착 보장,3155,800,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1390481688988485-117fa701-371e-461a-87f9-ccfcf224c492.jpg
"나무새 뚝딱깐더덕, 500g, 1개",,,27880,"(100g당5,576원)",내일(일) 새벽도착 보장,1,1394,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/fld9mr4d/872657b2193542c3bec9bb0eca5eba25.jpg
"강원도 고랭지 굿향 햇더덕, 650g, 1개",,,15900,"(100g당2,446원)",,537,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/03/30/18/2/ad280116-df8c-4e83-92b7-8df7067d3269.jpg
"나무새 뚝딱깐더덕, 500g, 1개",,,27880,"(100g당5,576원)",,1,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/fld9mr4d/872657b2193542c3bec9bb0eca5eba25.jpg
"국내산 흙더덕, 300g, 1개",17,9990,8270,"(100g당2,757원)",,5,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1285190845505665-09b8c9f8-c649-4646-8dac-74e50a07dc28.jpg
"국내산 흙더덕, 500g, 1개",23,16650,12780,"(100g당2,556원)",,6,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1205643498688410-5324d34d-20db-4547-aff8-079cf6579c4b.jpg
"국내산 깐더덕, 200g, 1개",9,11980,10900,"(100g당5,450원)",,145,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/187484749062353-248d4035-b742-4ccc-abdd-e9d60d5f4b0f.jpg
"강원도 고랭지 굿향 햇더덕, 650g, 1개",,,15900,"(100g당2,446원)",,3,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/03/30/18/2/ad280116-df8c-4e83-92b7-8df7067d3269.jpg
"국내산 깐더덕, 500g, 1개",7,24900,22990,"(100g당4,598원)",,109,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4165826563493332-158d7965-3fbd-4f3d-84c3-3d82f7e30d8f.jpg
"친환경 손질한 더덕, 200g, 1봉",5,9990,9470,,,69,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7962534282216472-0e1f03a7-30ed-4021-bac4-9c40f3e9844c.jpg
"제주 깐더덕, 300g, 1개",10,17890,15990,"(100g당5,330원)",,202,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1390481688988485-117fa701-371e-461a-87f9-ccfcf224c492.jpg
