name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"친정엄마 깐도라지, 450g, 1개",,,9050,"(100g당2,011원)",내일(일) 새벽도착 보장,567,453,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/02/21/16/6/55a82df6-808c-499b-a48f-f0288a894e26.jpg
"국내산 깐도라지, 250g, 1개",,,8160,"(100g당3,264원)",내일(일) 새벽도착 보장,9244,408,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/600326423975162-684d96e7-0308-4310-b18e-a16e4a7c8171.jpg
"국내산 친환경 도라지, 350g, 1개",,,13000,"(100g당3,714원)",내일(일) 새벽도착 보장,3430,650,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/63917308639104-e5f87fba-1019-4038-8f50-4e073fb8d5bd.jpg
"곰곰 국내산 깐도라지, 150g, 1개",,,5990,"(100g당3,993원)",내일(일) 새벽도착 보장,3198,300,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/442599092937801-70f57b4b-9c4b-4ac7-a0c7-a8bbd93a78a0.jpg
"도라지정과 25g x 4개 + 말랭이 40g + 청 270g 세트, 1세트",19,46000,36900,,내일(일) 새벽도착 보장,131,1845,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/07/27/17/9/6d43f069-e868-4269-9352-72e79c4bac99.jpg
"국내산 도라지, 1kg, 1봉",,,30800,"(100g당3,080원)",내일(일) 새벽도착 보장,269,1540,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/11/22/11/1/0dc1316d-ed96-466f-8cdc-bda594a46a41.jpg
"나무새 국산 도라지, 500g, 1개",,,18860,"(100g당3,772원)",내일(일) 새벽도착 보장,885,943,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/03/12/18/4/d6098f22-b40b-48d4-9d22-1ac5ed5b3101.jpg
"매홍 착한상점 씻어나온 도라지, 150g, 1봉",25,12000,8900,"(100g당5,933원)",내일(일) 새벽도착 보장,364,445,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/26/10/4/fab68f02-80bd-4d3a-921b-2e97be5fbeb3.jpg
"나무새 뚝딱도라지, 500g, 1개",,,17400,"(100g당3,480원)",내일(일) 새벽도착 보장,1,870,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/o59fh5y4/0648732925da4b4d8e281f1a967bfbbe.jpg
"나무새 뚝딱 도라지, 400g, 1개",,,15200,"(100g당3,800원)",내일(일) 새벽도착 보장,15,760,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/24/18/1/bde6b2f7-98bf-4143-b73d-7c2ff0be457c.jpg
