name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"올가 돈가스소스, 360g, 1개",,,7800,"(100g당2,167원)",내일(일) 새벽도착 보장,9350,390,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1255692435860455-674c3e5a-51b0-492a-80c1-b899a4516f3b.jpg
"사랑과정성 사랑담은 돈가스소스, 230g, 2개",,,7960,"(100g당1,730원)",내일(일) 새벽도착 보장,914,398,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6516449357132891-d870a0d6-23c1-401c-ba49-ea6402303c07.jpg
"식자재왕 양식용 돈까스소스, 2kg, 1개",,,14600,(100g당730원),내일(일) 새벽도착 보장,286,680,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/12283078108215888-3b7e8f22-a83c-4c7f-a610-f76786c31599.jpg
"푸딩팩토리 옛날식 돈까스 소스, 2kg, 1개",,,19500,(100g당975원),내일(일) 새벽도착 보장,225,975,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4014890742171689-7148d599-793a-42ac-928d-136274a6731f.jpg
"식자재왕 일식용 돈까스소스, 2kg, 1개",,,11170,(100g당559원),내일(일) 새벽도착 보장,152,559,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/87074159434705-0c9b56b2-5980-4d4f-8235-215fe6b616e9.jpg
"풀무원 풀스키친 일식 돈까스 소스, 1개, 2kg",,,19200,(100g당960원),내일(일) 새벽도착 보장,2,960,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2226589058592637-7847d286-a823-47b6-a811-86b71762f69d.jpg
"곰곰 매일매일 돈까스 소스, 2kg, 1개",1,7070,6960,(100g당348원),내일(일) 새벽도착 보장,711,348,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4491857209239258-7386e667-27ad-4ae8-8694-766c6d2e3b94.jpg
"코다노옛날돈까스 소스, 2kg, 1개",5,7750,7320,(100g당366원),내일(일) 새벽도착 보장,3421,366,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5407284833822422-b816f771-e0d6-4e68-bc15-ef7d8e5fac71.jpg
"곰곰 과일이 들어간 돈까스 소스, 270ml, 1개",,,4690,"(100ml당1,737원)",내일(일) 새벽도착 보장,1161,235,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/42051167462079-20c86101-dbd7-463b-b9a9-c95161991a77.jpg
"한맥 돈까스 소스, 2kg, 1개",,,6500,(100g당325원),,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/288356435667483-78533994-07b6-49ba-944f-c729f05e3d95.jpg
"세미원 푸드 일식 돈까스소스, 2kg, 1개",,,9100,(100g당455원),,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/18/14/8/b74e24ea-d0c8-4072-9d9e-c4d2789a478f.jpg
"세미원 푸드 경양식 돈까스소스, 2kg, 1개",,,7900,(100g당395원),,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/18/14/0/737cee56-dfed-4f85-a2e9-5c9c2506c9b2.jpg
