name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"청정원 1등급 국산콩 반모(부침찌개겸용두부), 2팩, 200g",17,4800,3980,(100g당995원),오늘(일)도착 보장,4,199,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5234272910108684-79e65854-b624-465b-b1df-f415180749a2.jpg
"한둘 무농약콩으로 만든 한끼 두부 부침용, 120g, 6개",9,9790,8900,"(100g당1,236원)",오늘(일)도착 보장,21553,400,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/10246532625913604-aa2572a3-ed93-41ab-b9cd-e9db4d909e0a.jpg
"곰곰 하루1팩 국산콩 연두부+오리엔탈소스, 134g, 6개입",5,7900,7430,(100g당924원),오늘(일)도착 보장,35161,350,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/219792887909138-f8795105-ac09-45b3-8fe9-3ff9aac89a9c.jpg
"맑은물에 참좋은 국산콩 부침두부, 3kg, 1개",,,15500,(100g당517원),오늘(일)도착 보장,3089,775,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/74926573561484-6d0f4114-4c95-46aa-a2d8-6a0b0942b63c.jpg
"누리원 포두부, 1kg, 1팩",,,12950,"(100g당1,295원)",오늘(일)도착 보장,5145,648,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7225451958944095-7d42c84c-8d6c-45d7-8244-f35284f38c05.jpg
"풀무원 한끼 연두부 + 오리엔탈 유자 소스 6개입, 708g, 1세트",20,9980,7900,"(100g당1,116원)",오늘(일)도착 보장,100983,395,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/ece1/8cf8456aa3352c3e65bd1914706d36fcea483772da2c2e4e58b2ba2b7abd.JPG
"한둘 명인이 만든 투컵 두부 부침용, 450g, 2개",,,7900,(100g당878원),오늘(일)도착 보장,11604,395,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/211725254761536-5a93c795-a23e-4216-af1a-1b1f5870ffda.jpg
"맑은물에 국산촌두부, 500g, 2개",,,6000,(100g당600원),오늘(일)도착 보장,56551,300,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/611330586386816-8c3a27bb-ce81-4bca-840d-e691756b5839.jpg
"한둘 명인이 엄선된 국산콩으로 만든 한끼 순두부, 150g, 6개",9,9790,8900,(100g당989원),오늘(일)도착 보장,11204,400,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3070632110166898-44420404-8c23-4692-b82c-8b6286e47cc3.jpg
"풀무원 고소한 유기농 투컵 두부, 580g, 1개",14,4080,3490,(100g당602원),오늘(일)도착 보장,13185,175,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2134202614071360-f0cf2b93-db2c-481b-b1d3-4044de1e2aa6.jpg
"제주살림 제주 전통 마른두부, 460g, 2개",,,15710,"(100g당1,708원)",오늘(일)도착 보장,2356,785,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1106868054301870-0fb5bd3e-7cde-4ae9-ba43-fff6d3acbf4e.jpg
"맑은물에 부침에 좋은 맑은콩 두부, 3kg, 1개",,,8400,(100g당280원),오늘(일)도착 보장,18346,393,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5459546674374113-04bdae8d-4ccb-4611-8b95-42ecb1e1ee9b.jpg
"잔다리 전두부 검은콩, 310g, 2개",,,9450,"(100g당1,524원)",오늘(일)도착 보장,1448,473,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/07/16/10/9/f0d2124a-385f-469f-a6e3-1587d309af8e.jpg
"한둘 명인이 국산콩으로 만든 한끼 두부 찌개용, 120g, 6팩",,,7980,"(100g당1,108원)",오늘(일)도착 보장,2241,399,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1469887003585453-652ed944-027d-4e74-b9fa-9466a38e7b50.jpg
"잔다리 전두부, 310g, 2개",7,8450,7800,"(100g당1,258원)",오늘(일)도착 보장,3990,390,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/317090272794410-2326335b-2710-4f41-ac7f-8b2a28d56162.jpg
"한둘 명인이 국산콩으로 만든 한끼 순두부, 150g, 6팩",,,7980,(100g당887원),오늘(일)도착 보장,1876,399,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/868816474444774-993e7608-b3ee-4b78-8796-e436c09a7579.jpg
"맑은물에 국산 미니촌두부 170g x 6p, 1020g, 1개",,,8500,(100g당833원),오늘(일)도착 보장,1404,425,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/08/12/12/5/5f8e11c8-b203-481d-b824-e4b29c7c05f2.jpg
"맑은물에 찌개에 좋은 맑은콩 두부, 3kg, 1개",,,8400,(100g당280원),오늘(일)도착 보장,30379,393,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5486366160685585-2eee34ec-33df-4b0d-8b70-250b44fedf34.jpg
"한둘 명인이 만든 포두부, 1kg, 1개",,,15900,"(100g당1,590원)",오늘(일)도착 보장,8228,715,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/11685162264562-17d034f8-0bef-4925-904a-625e39889cc9.jpg
"한둘 연두부, 125g, 6개",3,8690,8400,"(100g당1,120원)",오늘(일)도착 보장,6356,420,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5404641064510393-2b6abdf1-a65f-4fb6-95b6-4b7dc3cf9838.jpg
"한둘 명인이 엄선된 국산콩으로 만든 한끼 손순두부, 140g, 6개",16,10120,8400,"(100g당1,000원)",오늘(일)도착 보장,3197,420,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3070212400721513-a5dd5c16-026e-47c2-99ea-d47fa46e1792.jpg
"한둘 명인이 만든 넓은 면두부, 1kg, 1개",,,15900,"(100g당1,590원)",오늘(일)도착 보장,719,795,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/544080054181133-d9800238-68d3-4909-82ef-f0b6b3e6d40e.jpg
"내린천원당 순두부, 350g, 4개",,,10400,(100g당743원),오늘(일)도착 보장,824,520,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1655915519548391-60c7e5b9-fa1b-4c1d-98c9-b295310a0ef4.jpg
"맑은물에 조각 부침두부, 3kg, 1개",,,8800,(100g당293원),오늘(일)도착 보장,9063,440,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3209445254521662-2bcb1d33-334c-4ed1-b4b5-745a1a8fffb7.jpg
"한둘 명인이 만든 얇은 면두부, 1kg, 1개",,,15900,"(100g당1,590원)",오늘(일)도착 보장,1782,795,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/545292860355532-7ca78c3c-9ccb-47cf-a41b-ac4d9ba5401a.jpg
"풀무원 특등급 국산콩 두부 단단한 부침용, 1개, 340g",,,4990,"(100g당1,468원)",오늘(일)도착 보장,1110,250,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1939915039424848-84857f77-6618-4596-96d1-f46dfae210b7.jpg
"잔다리 전두부 청서리태, 310g, 3개",23,14100,10800,"(100g당1,161원)",오늘(일)도착 보장,929,540,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7300926887149519-002ec15c-4e16-4dc8-b691-c0d14174525a.jpg
"풀무원 SOGA 슬라이스 두부 마파탕수용, 1개, 3kg",,,12790,(100g당426원),오늘(일)도착 보장,32,640,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/01/12/16/4/ec6b196b-1b5b-4fd3-90e6-05ea61bdac38.jpg
"한둘 명인이 만든 투컵 두부 찌개용, 450g, 2개",,,7900,(100g당878원),오늘(일)도착 보장,711,395,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/211893814481421-a385eb5a-f751-4efa-a7df-b49c8dacc856.jpg
"풀무원 매일아침 신선 두부, 1kg, 1개",,,10400,"(100g당1,040원)",오늘(일)도착 보장,26,520,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/01/12/16/2/a06873d4-b8e3-4e71-9a29-8112bb948e03.jpg
"한둘 무농약콩으로 만든 한끼 두부 찌개용, 120g, 6개",9,9790,8900,"(100g당1,236원)",오늘(일)도착 보장,5713,400,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/218506565316319-c41724ed-9312-4719-83da-6d159ae21edc.jpg
"청정원 맷돌방식으로 갈아 고소한 찌개용 두부, 3kg, 1개",,,9500,(100g당317원),오늘(일)도착 보장,16,475,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1565084606043524-e7b35e22-964e-4045-80a8-7b05b67d5eab.jpg
"한둘 명인이 만든 투컵 사각 포두부, 2개, 200g",,,7900,"(100g당1,975원)",오늘(일)도착 보장,967,395,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1536909538911440-98aed7a2-7316-43fa-9001-939fa38005d3.jpg
"LF 아게다시도후 15입 (냉동), 600g, 2개",,,16950,"(100g당1,413원)",오늘(일)도착 보장,93,848,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/01/21/17/9/2a27719a-5b70-458a-9e53-4563068db4a2.jpg
