name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"맘스맘 흑임자드레싱, 2kg, 1개",,,16300,(100g당815원),내일(일) 새벽도착 보장,4358,815,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2275890174955397-8512a9af-82e5-434b-93ff-160f2b06d5d6.jpg
"맘스맘 유자드레싱, 2kg, 1개",,,15200,(100g당760원),내일(일) 새벽도착 보장,2593,684,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1046984740560114-036dbc31-8564-4dbf-8a37-e22840189a97.jpg
"맘스맘 키위드레싱, 2kg, 1개",,,12350,(100g당618원),내일(일) 새벽도착 보장,2117,618,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2352832904613431-fbc05ea9-554c-40cd-a071-d980cebcc151.jpg
"맘스맘 케이준드레싱, 2kg, 1개",,,14400,(100g당720원),내일(일) 새벽도착 보장,1991,648,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2352919756900945-892c1c28-cf45-4bd6-ace2-088df267dc21.jpg
"맘스맘 파인요거트드레싱, 2kg, 1개",,,12400,(100g당620원),내일(일) 새벽도착 보장,1535,620,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2353254890522149-66dc6045-b16b-4d88-bf88-b54f35bb723c.jpg
"풀무원 드레싱 오리엔탈 240g + 참깨흑임자 220g, 1세트",,,6980,,내일(일) 새벽도착 보장,268,349,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2244570421847393-a79752c3-d56e-43bd-8882-16e8af5ad1e5.jpg
"식자재왕 스위트콘 샐러드 드레싱, 2kg, 1개",,,18000,(100g당900원),내일(일) 새벽도착 보장,344,900,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/86893738504410-6a342434-053f-4ce0-899e-9ec55389987b.jpg
"주비푸드 랜치드레싱 소스, 1kg, 1개",3,9630,9340,(100g당934원),내일(일) 새벽도착 보장,60,467,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1719857784044171-c93c9b5a-aced-4f41-ac4c-09b318c562f2.jpg
"폰타나 무지방 저칼로리 드레싱 오리엔탈 235g + 그린 키위 230g + 파인애플 230g 세트, 695g, 1세트",7,9780,9080,,내일(일) 새벽도착 보장,2285,454,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2108715629781594-92518b5c-4fcf-4640-9711-7c847a81542c.png
"피그인더가든 그레이프발사믹 드레싱, 25g, 18개",,,9700,"(100g당2,156원)",내일(일) 새벽도착 보장,1453,485,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/02/24/15/0/230f540a-a9ce-48d4-bf19-13fa3d389382.jpg
"hcook 애플키위 드레싱, 2kg, 1개",,,16250,(100g당813원),내일(일) 새벽도착 보장,1,690,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/06/13/17/7/429dda8d-db8e-4bda-96ef-aeaee0a7e708.jpg
"맘스맘 양파드레싱, 2kg, 1개",,,18370,(100g당919원),내일(일) 새벽도착 보장,2759,846,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2388056484607374-b7b48226-c538-4ca6-b180-52262f157089.jpg
"hcook 고소한 흑임자 드레싱, 2kg, 1개",,,18550,(100g당928원),내일(일) 새벽도착 보장,3,835,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/t3zoi3a8/0e53ee2e2a2f49739173cb57e21fed7f.jpg
"맘스맘 타르타르드레싱, 2kg, 1개",,,13900,(100g당695원),내일(일) 새벽도착 보장,2462,695,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/285041189027978-88ffc259-4255-4f01-8366-2935b7c54f93.jpg
"풀무원 플레인요거트 드레싱, 235g, 1개",,,5880,"(100g당2,502원)",내일(일) 새벽도착 보장,1151,294,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/21/14/9/3d9bd89b-39db-4212-8c16-71a4ca58f49a.jpg
"hcook 딸기바나나 드레싱, 2kg, 1개",,,16350,(100g당818원),내일(일) 새벽도착 보장,1,695,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/449281674717795-1c865471-2d7a-45d4-9c9f-d68d70c082e6.jpg
"풀무원 식물성 지구식단 튀김과 어울리는 매콤양념 소스, 1kg, 1개",,,12900,"(100g당1,290원)",내일(일) 새벽도착 보장,13,645,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/sfhjgipl/243b280d3e1646be85c885fed3680f2f.jpg
"식자재왕 플러스 이탈리안 드레싱, 2kg, 1개",3,12080,11650,(100g당583원),내일(일) 새벽도착 보장,3,583,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/n939eegg/c28c4d28f3db435387a34797f2329cea.jpg
"피그인더가든 유자오리엔탈 드레싱, 25g, 18개",,,8940,"(100g당1,987원)",내일(일) 새벽도착 보장,1403,447,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2260481862944457-0f93a0d9-d3da-419d-af53-a7817ac5d435.jpg
"맘스맘 크림씨저드레싱, 2kg, 1개",,,14620,(100g당731원),내일(일) 새벽도착 보장,424,731,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1124482682665310-374819f1-0665-4165-aebc-55fa7013174c.jpg
