name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"국내산 무농약 백목이버섯, 150g, 1개",,,5480,"(100g당3,653원)",내일(일) 새벽도착 보장,4529,274,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/252841030102049-ab0eff7a-3fd5-4655-9333-f4ca95809444.jpg
"국내산 무농약 생목이버섯, 320g, 1개",,,5440,"(100g당1,700원)",내일(일) 새벽도착 보장,6823,272,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/150017369912788-8e8a321a-a48a-4078-a2ad-e94eb9978f57.jpg
"국내산 생목이버섯, 200g, 1개",,,3400,"(100g당1,700원)",내일(일) 새벽도착 보장,17843,170,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/10641514368796-34652996-7cbf-48b1-bcad-ba145e242aa8.jpg
"곰곰 국내산 건 목이버섯, 1개, 30g",,,4490,"(100g당14,967원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/533880470968459-2ba4ff5f-039b-4c46-8316-e96d621bdc1e.jpg
"국내산 무농약 백목이버섯, 150g, 1개",,,5480,"(100g당3,653원)",,94,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/252841030102049-ab0eff7a-3fd5-4655-9333-f4ca95809444.jpg
"건 목이버섯, 1개, 30g",15,3990,3360,"(100g당11,200원)",,66,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3854335096070690-564d742e-f7a4-4ae6-bd55-1c3ae7a36402.jpg
"무농약 혼합 목이버섯, 200g, 1개",,,4770,"(100g당2,385원)",,118,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1833656484073853-5ebc5186-6381-4ca3-96db-176e1f88a856.jpg
"국내산 무농약 생목이버섯, 320g, 1개",,,5440,"(100g당1,700원)",,179,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/150017369912788-8e8a321a-a48a-4078-a2ad-e94eb9978f57.jpg
"국내산 생목이버섯, 200g, 1개",,,3400,"(100g당1,700원)",,290,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/10641514368796-34652996-7cbf-48b1-bcad-ba145e242aa8.jpg
"무농약 혼합 목이버섯, 200g, 1개",,,4770,"(100g당2,385원)",,1104,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1833656484073853-5ebc5186-6381-4ca3-96db-176e1f88a856.jpg
