name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"국내산 무, 5개입, 1개",,,14450,"(1개당2,890원)",오늘(일)도착 보장,151699,723,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/909441387223013-59c98a51-538b-4c0d-a2e5-633d352ef8b1.jpg
"모들채소 무 깍둑썰기(잘게썰기 어린이용), 150g, 1개",,,1200,"(1개당1,200원)",8/29(목)도착 예정,8,60,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/70b1/b296786fc5b883ac9bd9f391cf725eefb7248cb74d7c3afe783efcc4b972.jpg
"국내산 세척 다발무, 5kg, 1봉",,,13980,(100g당280원),오늘(일)도착 보장,641,699,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3930916711859220-5908f0ed-10ed-4e30-8589-c212f78d38c1.jpg
"국내산 무청제거 다발무, 5kg, 1개",,,9990,(100g당200원),오늘(일)도착 보장,3372,500,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7940852469084521-8936b933-ec33-4aa1-a3ef-fb9dee99940d.jpg
"곰곰 국내산 무, 2개입, 1개",,,5780,"(1개당2,890원)",오늘(일)도착 보장,12101,289,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5917988039702300-d77b076c-4697-4f08-bdd1-77e52ae5ee5a.jpg
"작아도 맛있는 무, 600g, 1개입, 1입",,,2840,"(1개당2,840원)",오늘(일)도착 보장,7285,142,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/297851427349100-9da2e75e-d29f-416c-9ad9-0f47d52049af.jpg
"국내산 절단무 450g, 1개",13,2050,1780,,오늘(일)도착 보장,4159,89,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/889964862857156-1afef421-ff1c-4458-a507-4612a62c146b.jpg
"국내산 세척 무, 1개, 1개입",,,3690,"(1개당3,690원)",오늘(일)도착 보장,3028,185,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3924709427801641-2b163826-c1a9-45b5-92f9-c2bca83d3114.jpg
"못생겨도 맛있는 무, 1개입",,,2800,"(1개당2,800원)",오늘(일)도착 보장,9639,140,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1404773103790659-c48d5d8a-fbda-4798-bec5-738af9c528b3.jpg
"국내산 절단무 450g, 1개",13,2050,1780,,,239,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/889964862857156-1afef421-ff1c-4458-a507-4612a62c146b.jpg
"국내산 세척 다발무, 5kg, 1봉",,,13980,"(1개당13,980원)",,97,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3930916711859220-5908f0ed-10ed-4e30-8589-c212f78d38c1.jpg
"국내산 친환경 절단무, 400g, 1개",,,2270,"(1개당2,270원)",,367,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1480807052882118-bc6e9b26-d8b0-4ce7-a2f8-ac6feda0cd0f.jpg
"국내산 세척 무, 1개",,,3690,"(1개당3,690원)",,193,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3924709427801641-2b163826-c1a9-45b5-92f9-c2bca83d3114.jpg
"곰곰 친환경 무, 1개입, 1개",,,3980,"(1개당3,980원)",,10519,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1071643135757904-e176ce8e-83af-4cdf-92a3-fe5a42eb8866.jpg
"친환경 인증 국내산 절단무, 400g 내외, 1개",,,1780,"(1개당1,780원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/431649277917946-81200ad1-e89d-445d-b2ac-090224338291.jpg
"경주 열무, 1kg, 1봉",48,6500,3360,(100g당336원),,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7187648384315893-0a118fed-9f72-4868-b7a0-0b41dfed2ada.jpg
"일품김치 절임 알타리, 5kg, 1개",,,33900,"(1개당33,900원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6617506167059886-843950d6-4e45-40a0-9fde-cec098ebccba.jpg
"곰곰 국내산 무, 900g이상, 1입",,,1340,"(1개당1,340원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6668365828850667-311ab5ed-c093-41eb-b9e1-35fa5a8d31a9.jpg
"국내산 레디쉬 방울무, 300g, 1봉",,,5100,,,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6668542980243331-d61244bf-4944-43a8-918e-471dbe56df3d.jpg
"국내산 세척 무, 900g, 1개",,,2680,"(1개당2,680원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/25/15/4/5f6940a3-f9c3-48a2-b66d-a01dba78d7c2.jpg
"친환경 인증 국내산 무, 1kg, 1봉",,,3880,"(1개당3,880원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/05/16/17/9/e618f54c-eedc-4141-a0ec-7d20578e1f6a.jpg
"강원도 친환경 무, 1kg, 1입",,,4750,"(1개당4,750원)",,6,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1303743173424910-057eb820-b421-4584-a72c-b3db7d3bdbef.jpg
"국내산 친환경 강화도 순무, 1봉, 1.5kg",6,8990,8400,,,16,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4002343986462030-698b27f2-733d-4685-b97d-39c987aea115.jpg
"곰곰 국내산 세척 다발무, 5kg, 1개",9,8390,7630,(100g당153원),,10,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1747242625425309-bea4fa00-757f-4985-bcb2-66cd02998d9d.jpg
"국내산 세척 무 2입, 1봉",31,4280,2930,"(1개당1,465원)",,9,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/682018056580771-b010e759-95bd-453b-82a2-240316e7849b.jpg
"곰곰 제주도 친환경 무, 1.2kg, 1입",9,2980,2690,"(1개당2,690원)",,31,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8224580880297360-c8e1115d-b8ac-4c06-8542-c89a09a6c18c.jpg
