name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"대흥물산 두마리 데친 문어 (냉동), 500g, 1개",,,22100,"(100g당4,420원)",내일(일) 새벽도착 보장,175,1050,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ebzrbo3n/31424fef4500449fa4b89159c9a7831b.jpg
"단디프레시 국산 데친 문어 (냉장), 400g, 1팩",,,24800,"(100g당6,200원)",내일(일) 새벽도착 보장,14354,1235,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2194517678578417-e0d69dd5-d100-4fef-b41f-db153605155e.jpg
"모리타니아산 데친 문어, 400g, 1팩",,,16900,"(100g당4,225원)",내일(일) 새벽도착 보장,2456,840,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_3_max3k/ca2a/92a02ef222d1f6def2c68b03b742b408ab9bba9b580ffcfbabb0a1a997c2.jpg
"고고새우 해물탕 / 찜 / 제수용 손질 자숙문어 (냉동), 1.2kg 내외(8미사이즈), 1개",,,29650,"(100g당2,471원)",내일(일) 새벽도착 보장,92,1483,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5478054655585457-6a37fed3-7c78-4864-929a-195876e9eca1.jpg
"대흥물산 한마리 데친 문어 (냉동), 350g, 1개",,,14710,"(100g당4,203원)",내일(일) 새벽도착 보장,75,735,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/q6ueiofa/47ee8c9a9c0847e1b5319c27eed2c5c4.jpg
"은하수산 문어 소라 슬라이스, 250g, 1개",,,16700,"(100g당6,680원)",내일(일) 새벽도착 보장,964,780,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_1_max3k/b8b6/0ffbd10e0d9b1ffb41e746969f13bd2dae6c092c19126d7e150bbd9a179d.jpg
"갯마을 데친문어 (냉장), 400g, 1개",7,23840,22160,"(100g당5,540원)",내일(일) 새벽도착 보장,57,988,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/gho1mr6v/71476b5c30974f9189e105b77951810d.jpg
"갯마을 냉동문어 (냉동), 600g, 1개",,,28500,"(100g당4,750원)",내일(일) 새벽도착 보장,14,1425,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/4wggiach/504da9fd8cde404eb67b72b123a54dee.jpg
"은하수산 문어 슬라이스 중 200g + 청귤초고추장 30g + 참기름 3ml (냉장), 1팩",,,19160,,내일(일) 새벽도착 보장,181,958,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/02/13/1/bc12f54e-e008-42aa-bfe1-a6568900bdc8.jpg
"단디프레시 데친문어 다리 (냉동), 250g, 1개",,,12300,"(100g당4,920원)",내일(일) 새벽도착 보장,275,615,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf40k_batch_1_max3k/43e2/7e8c62c7090003661c8d8e1e8264fa186dea6f8d7ddcc193092549f63564.jpg
"단디프레시 토핑과 죽용 자숙문어 (냉동), 300g, 1개",,,15500,"(100g당5,167원)",내일(일) 새벽도착 보장,204,775,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/18/15/5/68257c2c-a4dc-406d-8939-0019d754be6a.jpg
"은하수산 모리타니산 데친문어 (냉동), 600g, 1개",,,30790,"(100g당5,132원)",내일(일) 새벽도착 보장,43,1540,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/826337246620992-caa37418-ab6b-4886-a4ad-1580557b75df.jpg
"은하수산 데친 문어 (냉동), 700g, 1팩",,,34360,"(100g당4,909원)",내일(일) 새벽도착 보장,517,1718,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/04/02/15/2/fc5881b0-ffbd-4697-9a3e-612aaba08a5b.jpg
"피시원 국산손질문어 (냉동), 500g, 1팩",,,27650,"(100g당5,530원)",내일(일) 새벽도착 보장,835,1345,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/16/17/8/437ae109-23e6-49fc-81c1-010362786803.jpg
"알찬해 남해안 자숙 손질 돌문어 (냉동), 300g, 1개",,,17820,"(100g당5,940원)",내일(일) 새벽도착 보장,508,891,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13941705748705299-76858bb1-8517-4840-9f5d-fe5f2d58b96c.jpg
"한올레 제주 손질 문어 (냉동), 400g, 1팩",,,25800,"(100g당6,450원)",내일(일) 새벽도착 보장,63,1290,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/04/28/15/6/da838098-dfa9-419e-bcc1-4123b7b8bcbb.jpg
"피시원 손질문어 (냉동), 180g, 1개",,,10200,"(100g당5,667원)",내일(일) 새벽도착 보장,53,510,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/20/11/1/47fa905e-91ec-441d-a429-febc9370a3aa.jpg
"유림수산 문어 샐러드용 (냉동), 900g, 1개",,,28000,"(100g당3,111원)",내일(일) 새벽도착 보장,2,1400,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/24/18/6/a4d45c47-93b0-494b-ad9b-0a8a7e4e7232.jpg
"바다미식회 국내산 데친 다진문어 3개입 (냉동), 300g, 1개",,,18700,"(100g당6,233원)",내일(일) 새벽도착 보장,3,935,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2212403111569719-71e34551-a5b5-4f91-8d03-30022e213d64.jpg
"바다미식회 국내산 데친 다진문어 5개입 (냉동), 500g, 1개",,,29900,"(100g당5,980원)",내일(일) 새벽도착 보장,1,1495,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/eaijrsbe/b0cdf10897884ddaaf7acec579ea1ec8.jpg
"자숙문어 다리 슬라이스 횟감 (냉동), 100g(20미), 1개",15,7420,6260,"(100g당6,260원)",내일(일) 새벽도착 보장,286,313,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_3_max3k/7675/42c2f7bfa3a2254663410c6a5e1cf7d011ef7687021e95f521216fd8d2f2.jpg
"갯마을 데친문어 (냉장), 400g, 1개",,,22160,"(100g당5,540원)",,27,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/gho1mr6v/71476b5c30974f9189e105b77951810d.jpg
"국산 데친 문어 (냉장), 400g, 1팩",,,24800,"(100g당6,200원)",,695,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2194517678578417-e0d69dd5-d100-4fef-b41f-db153605155e.jpg
"갯마을 냉동문어 (냉동), 600g, 1개",,,28500,"(100g당4,750원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/4wggiach/504da9fd8cde404eb67b72b123a54dee.jpg
"대흥물산 한마리 데친 문어 (냉동), 550g, 1개",,,22120,"(100g당4,022원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/jcvl2ll7/c9da8366d7a848efa4d2fca11da9fad6.jpg
"대흥물산 한마리 데친 문어 (냉동), 450g, 1개",,,18420,"(100g당4,093원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/pjcqci6u/36fdc4eee7674c76b310f272ccaa732c.jpg
"대흥물산 한마리 데친 문어 (냉동), 350g, 1개",,,14710,"(100g당4,203원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/q6ueiofa/47ee8c9a9c0847e1b5319c27eed2c5c4.jpg
"대흥물산 두마리 데친 문어 (냉동), 500g, 1개",,,22100,"(100g당4,420원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ebzrbo3n/31424fef4500449fa4b89159c9a7831b.jpg
"대흥물산 한마리 데친 문어 (냉동), 650g, 1개",,,25820,"(100g당3,972원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/gyh9r9kf/18e6671913fd4798967e75c73341f37e.jpg
"대흥물산 두마리 데친 문어 (냉동), 400g, 1개",,,18100,"(100g당4,525원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/drukw9bq/03ce95dcfc504d918aed49f71e362b30.jpg
"대흥물산 두마리 데친 문어 (냉동), 300g, 1개",,,14100,"(100g당4,700원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/0bcuznmc/e218d092dc8a4231b30098a37ee90ae5.jpg
"피시원 국내산 데친 문어 (냉동), 350g, 1개",,,25900,"(100g당7,400원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/3fpydcb8/d527ec1731a84cc1a404545ae6f1e0a8.jpg
