name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"돌미나리, 200g, 1개",,,4800,"(100g당2,400원)",내일(일) 새벽도착 보장,2864,240,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6332993541639934-c17959c3-0b4d-417c-b8dc-9ee53e6bf21f.jpg
"국내산 미나리, 200g, 1개",12,3990,3490,"(100g당1,745원)",내일(일) 새벽도착 보장,14358,175,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13903842310073-7d28e8c4-82b3-489a-b041-231b0d4a8854.jpg
"국내산 친환경 미나리, 200g, 1개",,,4990,"(100g당2,495원)",내일(일) 새벽도착 보장,1841,250,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/71313392415186-2d9186db-8996-408d-952c-84f889232bbd.jpg
"국내산 청도미나리, 200g, 1개",12,3990,3490,"(100g당1,745원)",,175,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/276042785028707-a21a376a-6ed1-46ab-8350-0fb8bcd0e72f.jpg
"국내산 청도미나리, 400g, 1개",,,5300,,,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/11319582733352692-9945d7f7-0091-4095-b5a9-6b49ff7501c8.jpg
"곰곰 청도 미나리, 400g, 1봉",37,7980,4980,"(100g당1,245원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8661714368853325-9088c29e-49a4-4fac-a1c6-ac916d74b7b4.jpg
"무농약 한재 미나리, 200g, 1봉",,,3990,,,6,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13040983834895553-7a380ea3-2b3b-4c67-b038-c55836298f7c.jpg
"국내산 청도 미나리, 1kg, 1개",15,17090,14510,"(100g당1,451원)",,18,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/567358592820588-2708687a-6283-4224-aeb8-41e1b942c40d.jpg
"GAP 하동 미나리, 400g, 1봉",14,8390,7200,,,8,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/955494290517100-f4e3a701-8602-4bfd-861a-4ca014f0a0d4.jpg
"국내산 친환경 미나리, 200g, 1개",,,4990,"(100g당2,495원)",,62,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/71313392415186-2d9186db-8996-408d-952c-84f889232bbd.jpg
"국내산 미나리, 1kg, 1개",,,17450,"(100g당1,745원)",,133,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/262540180178293-2a253711-81f1-42f0-9f15-15eb1d9e7cd6.jpg
"돌미나리, 200g, 1개",,,4800,"(100g당2,400원)",,133,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6332993541639934-c17959c3-0b4d-417c-b8dc-9ee53e6bf21f.jpg
"국내산 미나리, 200g, 1개",12,3990,3490,"(100g당1,745원)",,225,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13903842310073-7d28e8c4-82b3-489a-b041-231b0d4a8854.jpg
"친환경 한재 미나리, 200g, 1봉",29,5990,4220,,,158,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/14354142272139415-4e879de6-4588-4ec7-9e0d-dfd53ffd9d14.jpg
"곰곰 국내산 미나리, 230g, 1개",51,4990,2400,"(100g당1,043원)",,303,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/172193988966271-b86c93db-fb16-4e8b-a227-50f9dfa746b8.jpg
"국내산 청도미나리, 200g, 1개",12,3990,3490,"(100g당1,745원)",,26419,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/276042785028707-a21a376a-6ed1-46ab-8350-0fb8bcd0e72f.jpg
