name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"완도 명품 자른미역, 500g, 1개",,,13900,(10g당278원),내일(일) 새벽도착 보장,20724,665,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8913910505254357-8c24c812-feaf-4d8d-9817-566f843e8cf9.jpg
"오뚜기 옛날 자른 미역, 50g, 1개",2,2480,2420,"(100g당4,840원)",내일(일) 새벽도착 보장,435,121,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1105661324153895-1970d442-eaea-4e73-922c-783b8ed72ea1.jpg
"미역줄기, 300g, 1개",,,2480,(10g당83원),내일(일) 새벽도착 보장,6166,124,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/05/23/16/4/209daf57-6223-482f-ab67-d529d22671e9.jpg
"곰곰 유기인증 자른미역, 120g, 1개",,,5690,(10g당474원),내일(일) 새벽도착 보장,20084,285,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5407959728197834-50488027-e7dc-403a-8c78-dd51cca6ea9f.jpg
"주일 간편한 한끼식사 자른미역, 15g, 3개",,,2980,(10g당662원),내일(일) 새벽도착 보장,51,149,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/561810917547731-e3eb01f7-4409-477e-bec9-359948db9b19.jpg
"오뚜기 옛날 미역, 100g, 1개",,,3690,"(100g당3,690원)",내일(일) 새벽도착 보장,3092,185,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2016/11/10/3000047904/9383f9e5-1597-42d1-8201-9802c4c3a382.jpg
"사랑해어 건실미역 (냉동), 300g, 1개",,,7230,(10g당241원),내일(일) 새벽도착 보장,16,361,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ikkefozy/959fdf663a6e4ef3b426cbaded37c8c3.jpg
"곰곰 미역줄기, 300g, 1개",20,2350,1870,(10g당62원),내일(일) 새벽도착 보장,2584,94,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/30356231779053-df5f4002-2397-4486-9f9b-52d9a10d6d64.jpg
"바다맘 완도 자른 미역, 20g, 10개",,,10900,"(100g당5,450원)",내일(일) 새벽도착 보장,2731,545,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2012553462965503-11ae6cde-79e2-4dd8-a01f-11abc956daef.jpg
"기장 숙성 토종미역, 2kg, 1개",,,27900,(10g당140원),내일(일) 새벽도착 보장,2353,1395,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/12/04/14/6/d684bb6d-4a95-4c21-9f90-5a6d38e77b7f.jpg
"주일상사 깨끗하게 씻은 냉국용 참미역, 70g, 1개",,,3230,(10g당461원),내일(일) 새벽도착 보장,1,161,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1118888524751240-38ff1c09-1ed4-4d24-bbb2-d3df49199006.jpg
"기장물산 진한국물 부드러운 실미역, 200g, 1개",,,7900,(10g당395원),내일(일) 새벽도착 보장,454,395,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/04/12/15/9/3daf109d-d54e-4fc6-a7cb-fd3af8f5838c.jpg
"간편한 한끼식사 자른미역 4봉, 60g, 1개",21,3780,2980,"(10g당1,987원)",내일(일) 새벽도착 보장,476,149,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/11/25/16/7/224b537f-a5cb-4b52-894a-aafe9757a814.jpg
"쇠미역, 300g, 1개",,,2480,(10g당83원),내일(일) 새벽도착 보장,3995,124,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/05/23/16/9/7b03f602-1ba5-4845-950a-c32b274190a7.jpg
"산모용 진도각 미역, 130g, 1봉",,,6520,(10g당502원),내일(일) 새벽도착 보장,1470,326,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/id92hz1b/70951a8b87fe481eb79130bbea6140b3.jpg
"주일 40년 외길 중부시장 김종풍 염장곰피 쇠미역, 300g, 1개",,,2090,(10g당70원),내일(일) 새벽도착 보장,4,105,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/huahjzae/769213af6dba493d86b60ba7fbd056f9.jpg
