name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"앵커 버터 (냉동), 454g, 1개",,,7400,"(100g당1,630원)",오늘(일)도착 보장,63822,370,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4432261188657315-ef1c39ec-3ba7-4aee-9659-305821310164.jpg
"서울우유 고소한 버터, 450g, 1개",3,9600,9290,"(100g당2,064원)",오늘(일)도착 보장,41914,465,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/324931245662365-6a3927cf-3439-47a7-bd1b-c4ef8692e5d5.jpg
"프레지덩 미니 버터, 200g, 1개",9,9500,8600,"(100g당4,300원)",오늘(일)도착 보장,33883,395,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3122293997569978-940433fb-b4e8-4340-9c20-9746f3479d85.jpg
"프레지덩 버터 20개입, 200g, 1개",15,9460,8000,"(100g당4,000원)",오늘(일)도착 보장,1141,395,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/50e8/1ed18f512f3501f36712db64e0d976c751d8b04aef86161be92e09302276.jpg
"라콩비에트 CHARENTES-POUTOU 버터 가염 15g x 30입, 450g, 1개",5,34920,32980,"(100g당7,329원)",오늘(일)도착 보장,4870,1649,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/10/07/18/4/1309382a-b130-470b-b84c-9271878f39b6.jpg
"서울우유 버터, 450g, 1개",,,11000,"(100g당2,444원)",오늘(일)도착 보장,7843,550,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/2740/d4504752b707159152777197eaf5bae90cc31c950d1f57b25492a91c30f3.jpg
"Ballantyne 스프레더블 버터 20입, 140g, 1개",,,5300,"(100g당3,786원)",오늘(일)도착 보장,6246,265,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/z4yxp3p6/722dbf3f72404f21adab8739fc639956.jpg
"페이장브르통 빼띠 게랑드버터, 200g, 1개",,,8060,"(100g당4,030원)",오늘(일)도착 보장,8693,403,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/04/05/14/2/b8d280ec-b742-46eb-88a9-eb35836b7459.jpg
"라콩비에트 CHARENTES-POUTOU 버터 무염 15g x 30입, 450g, 1개",1,33350,32980,"(100g당7,329원)",오늘(일)도착 보장,2834,1649,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/10/07/18/1/d93e49f2-d78f-4053-bce4-b92738234fb9.jpg
"상하목장 슬로우 무염버터, 200g, 1개",17,8030,6620,,오늘(일)도착 보장,767,331,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4642471969088218-8f38cac5-daba-4b79-988c-0b6937541f89.jpg
