name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"풀무원 고기듬뿍 소고기 볶음 고추장, 360g, 1개",1,7210,7120,"(100g당1,978원)",내일(일) 새벽도착 보장,3560,356,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/12/23/15/4/f61c39f8-feca-463c-ba9b-8745beaba3d8.jpg
"비비드키친 저당 볶음고추장, 300g, 1개",6,6980,6500,"(100g당2,167원)",내일(일) 새벽도착 보장,97,297,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/sibi67zr/e65e0810782040b2b847a13e34bd1914.jpg
"권기옥 명인 웃말 한우 볶음 고추장, 500g, 1개",7,16980,15770,"(100g당3,154원)",내일(일) 새벽도착 보장,575,789,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/11/23/10/9/c5b6556c-e910-443c-8a8e-c960aacba42c.jpg
"순창문옥례식품 소고기 볶음고추장, 60g, 3개입",,,8760,"(100g당4,867원)",내일(일) 새벽도착 보장,235,438,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/269225452388795-c71a0d77-34fe-49b9-a33a-5fda81195b31.jpg
"순창문옥례식품 한우소고기 볶음고추장, 250g, 1개",,,10900,"(100g당4,360원)",내일(일) 새벽도착 보장,374,545,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/11543614257701-2796a91d-589f-430f-835d-a90239de71a2.jpg
"설성목장 한우볶음고추장, 250g, 1개",,,14350,"(100g당5,740원)",내일(일) 새벽도착 보장,528,718,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/01/08/14/6/3c8c7212-896e-45d4-a647-43d6ad197fd9.jpg
"자연에찬 볶음고추장, 200g, 2개",,,14400,"(100g당3,600원)",내일(일) 새벽도착 보장,2,720,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/31/17/0/867983c9-4437-4a90-8362-36b4fa637efe.jpg
"한국맥꾸룸 맥 한우 볶음 고추장, 500g, 1개",,,30850,"(100g당6,170원)",내일(일) 새벽도착 보장,73,1543,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/11/21/10/0/a9f14d8d-f0b0-4a70-b485-5ad81dc34b68.jpg
"청정원순창 쇠고기볶음 고추장, 60g, 3개",,,5980,"(100g당3,322원)",내일(일) 새벽도착 보장,556,269,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/14412065131660359-58996544-81a3-4547-8048-962c2238cb36.jpg
"한국맥꾸룸 맥 표고버섯 볶음 고추장, 250g, 1개",,,11800,"(100g당4,720원)",내일(일) 새벽도착 보장,28,590,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/11/21/10/6/737dca29-1668-4ed4-b080-a5394faf6b8c.jpg
"한국맥꾸룸 맥 황태볶음 고추장, 250g, 1개",,,11800,"(100g당4,720원)",내일(일) 새벽도착 보장,49,590,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/11/21/10/6/4994b66b-c29e-4c41-94de-4798dfd0a0de.jpg
"기순도 한우 볶음고추장, 230g, 1개",,,15000,"(100g당6,522원)",내일(일) 새벽도착 보장,43,750,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/10400749346271439-4c71fce5-8756-4856-8035-9d321ac12cf6.jpg
"비비드키친 저당 볶음고추장, 300g, 1개",6,6980,6500,"(100g당2,167원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/sibi67zr/e65e0810782040b2b847a13e34bd1914.jpg
"풀무원 고기듬뿍 소고기 볶음 고추장, 360g, 1개",1,7210,7120,"(100g당1,978원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/12/23/15/4/f61c39f8-feca-463c-ba9b-8745beaba3d8.jpg
"순창문옥례식품 한우소고기 볶음고추장, 250g, 1개",,,10900,"(100g당4,360원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/11543614257701-2796a91d-589f-430f-835d-a90239de71a2.jpg
"설성목장 한우볶음고추장, 250g, 1개",,,14350,"(100g당5,740원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/01/08/14/6/3c8c7212-896e-45d4-a647-43d6ad197fd9.jpg
"순창문옥례식품 소고기 볶음고추장, 60g, 3개입",,,8760,"(100g당4,867원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/269225452388795-c71a0d77-34fe-49b9-a33a-5fda81195b31.jpg
"권기옥 명인 웃말 한우 볶음 고추장, 250g, 1개",3,10600,10220,"(100g당4,088원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6763771277080591-931886af-22d0-40f2-8c72-e5cc65c54b76.jpg
"권기옥 명인 웃말 한우 볶음 고추장, 500g, 1개",7,16980,15770,"(100g당3,154원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/11/23/10/9/c5b6556c-e910-443c-8a8e-c960aacba42c.jpg
"기순도 한우 볶음고추장, 230g, 1개",,,15000,"(100g당6,522원)",,5,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/10400749346271439-4c71fce5-8756-4856-8035-9d321ac12cf6.jpg
"반찬천국 고추장 볶음장, 300g, 1개",,,6400,"(100g당2,133원)",,7,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/10/18/2/fb8ebc2d-82ee-42eb-81af-4124c708f086.jpg
"한국맥꾸룸 맥 한우 볶음 고추장, 500g, 1개",,,30850,"(100g당6,170원)",,5,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/11/21/10/0/a9f14d8d-f0b0-4a70-b485-5ad81dc34b68.jpg
"한국맥꾸룸 맥 한우 볶음 고추장, 250g, 1개",,,17000,"(100g당6,800원)",,4,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/11/21/10/5/bdef083a-5249-4f2e-8223-0cfc70afd915.jpg
"한국맥꾸룸 맥 표고버섯 볶음 고추장, 500g, 1개",,,18600,"(100g당3,720원)",,12,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/14629916926343498-87a28c4a-0399-42a1-abbf-ff830b22d7e0.jpg
"맨즈쿠킹 만능 고추장볶음소스, 500g, 2개",,,9240,(100g당924원),,6,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/02/16/14/5/a947338c-db50-4803-b095-6398232d9396.jpg
"한국맥꾸룸 맥 황태볶음 고추장, 500g, 1개",,,18600,"(100g당3,720원)",,5,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/11/21/10/5/8435645e-8615-4b87-a298-8163d2700dcd.jpg
