name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"GAP 청상추, 300g, 1봉",,,6990,"(100g당2,330원)",내일(일) 새벽도착 보장,973,350,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4595552521102516-32d9801f-292c-4047-9f5b-4ab4bfccbfd4.jpg
"국내산 GAP 청상추, 150g, 1개",10,4430,3980,"(100g당2,653원)",내일(일) 새벽도착 보장,6461,199,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/86408055481482-c5138d7a-9322-4b7b-8732-1634784a1c3a.jpg
"로메인 상추, 200g, 1개",10,5570,4990,"(100g당2,495원)",내일(일) 새벽도착 보장,10025,250,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8313504820794042-0c253629-031b-4202-930b-ae11005ca8fb.jpg
"곰곰 국내산 GAP 아삭한 청상추, 150g, 1개",,,3500,"(100g당2,333원)",내일(일) 새벽도착 보장,1528,175,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/270460659519303-d3c23156-a971-4337-9dbb-2a00cdc620bd.jpg
"친환경 적상추+청상추, 200g, 1개",,,5300,,내일(일) 새벽도착 보장,3041,265,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2669276233082837-786563a7-1b20-426d-8f6a-4ec80568cd39.jpg
"국내산 친환경 청상추, 200g, 1봉",,,4990,"(100g당2,495원)",내일(일) 새벽도착 보장,11201,250,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1027858366095-f4bb4200-e8cb-421d-8a4e-a94590a43b9e.jpg
"GAP 한끼 청상추, 80g, 1개",,,2290,"(100g당2,863원)",내일(일) 새벽도착 보장,2383,115,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5714356867898696-47255254-d94e-42f7-a98c-1075c6ba0aee.jpg
"국내산 아삭한 상추, 150g, 1개",,,3500,"(100g당2,333원)",내일(일) 새벽도착 보장,5834,175,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13886900525231-045a0f43-2e2b-4dcf-9775-26e43e1e7411.jpg
"국내산 친환경 적상추, 150g, 1개",12,3980,3480,"(100g당2,320원)",내일(일) 새벽도착 보장,11495,174,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3437045451067035-40c4935e-98b4-4833-8972-d78c5cac0f2c.jpg
"곰곰 적상추, 300g, 1봉",14,6960,5960,"(100g당1,987원)",내일(일) 새벽도착 보장,78309,298,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1476784122017068-69e75316-7630-44a8-9860-8889d1c781af.jpg
"국내산 적상추, 200g, 1개",19,4960,3970,"(100g당1,985원)",내일(일) 새벽도착 보장,35189,199,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/11950556430039-85f12635-236c-46c2-b8e4-2e016fe6a754.jpg
"국내산 한끼 적상추, 80g, 1개",,,2250,"(100g당2,813원)",내일(일) 새벽도착 보장,4633,113,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9863192134289436-d84e1d4b-963e-48e5-93e1-44952ac54706.jpg
"한끼 청상추, 80g, 1개",,,2250,"(100g당2,813원)",내일(일) 새벽도착 보장,3369,113,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/10413024751284312-dc01aeff-29f8-4b4a-baa0-4128667ad21d.jpg
"국내산 GAP 반반상추, 200g, 1개",,,4370,"(100g당2,185원)",내일(일) 새벽도착 보장,13128,219,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/75126667447118-4bd02394-bd63-42e4-8153-c232f4c62cd6.jpg
"곰곰 청상추, 200g, 1개",14,4650,3970,"(100g당1,985원)",내일(일) 새벽도착 보장,107265,199,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1874101060238-2d0121d6-56d7-44fa-a12a-49a5fe3b1949.jpg
"국내산 청상추, 150g, 1개",14,3480,2980,"(100g당1,987원)",내일(일) 새벽도착 보장,39105,149,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/75155458906547-1fd9a118-144d-4020-a8ef-27f1d3c904df.jpg
"GAP 인증 국내산 반반상추, 200g, 1봉",,,2700,"(100g당1,350원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/28/15/9/2ffcfd74-a3cb-4398-a254-7d694fd95411.jpg
"국내산 친환경 청상추, 400g, 1개",68,10000,3160,(100g당790원),,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4308079354931201-603a8d8f-994e-474b-bf59-7d7930318454.jpg
"친환경 밀양 적상추, 200g, 1봉",,,2900,,,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7452758776677265-dae608ad-4d32-48f5-b9cc-0ebdbfb8693e.jpg
"유기농 반반상추, 200g, 1봉",,,3900,"(100g당1,950원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9118837922892-4a89f43d-5e77-4491-9f17-5be66045e05d.jpg
"국내산 아삭이상추, 1kg, 1팩",,,4950,(100g당495원),,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/606184576007600-4721d832-fbcb-4a42-b321-24753e1cb6c4.jpg
"곰곰 청상추, 500g, 1개",27,8250,6000,"(100g당1,200원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1461377285247718-9cebfc0d-5223-4e47-b382-a3fb2d5dc2c4.jpg
"곰곰 청상추, 200g, 1개",14,4650,3970,"(100g당1,985원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1874101060238-2d0121d6-56d7-44fa-a12a-49a5fe3b1949.jpg
"곰곰 국내산 GAP 청상추, 300g, 1개",18,4280,3500,"(100g당1,167원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1569865013546977-900d3784-9b66-47b5-9397-daca58c4edf4.jpg
"곰곰 적상추, 150g, 1개",37,3990,2480,"(100g당1,653원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1141847089222148-c4436394-b1ad-4374-a39b-bad762329e2a.jpg
"곰곰 국내산 GAP 청상추, 150g, 1개",,,3350,"(100g당2,233원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/269095016526827-c8a575b2-10a9-4409-a653-52d3cb9543b8.jpg
"국내산 청상추, 1kg, 1개",,,13200,"(100g당1,320원)",,45,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/273448630691188-aa1c51fa-e726-4a77-bea4-f466c3144f21.jpg
"친환경 포기상추, 250g, 1개",,,9990,"(100g당3,996원)",,11,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/75528894790703-539bb514-d739-42f8-a2dd-e4b67645ad14.jpg
"국내산 한끼 적상추, 80g, 1개",,,2250,"(100g당2,813원)",,70,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9863192134289436-d84e1d4b-963e-48e5-93e1-44952ac54706.jpg
"국내산 포기상추, 300g, 1개",20,3730,2980,(100g당993원),,49,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1889660498594759-e99e1c37-abbd-4273-be1e-3bb2d54253d0.jpg
"적상추 국내산, 1kg, 1개",,,11250,"(100g당1,125원)",,3,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/273764778036630-f242089f-57ae-4877-854a-3ce4188486ed.jpg
"곰곰 국내산 포기상추, 300g, 1개",,,2980,(100g당993원),,12,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4324425842465-630f031b-4309-4643-a144-be3c82ee8621.jpg
"GAP 한끼 청상추, 80g, 1개",,,2290,"(100g당2,863원)",,59,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5714356867898696-47255254-d94e-42f7-a98c-1075c6ba0aee.jpg
"친환경 적상추+청상추, 200g, 1개",,,5300,"(100g당2,650원)",,57,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2669276233082837-786563a7-1b20-426d-8f6a-4ec80568cd39.jpg
"곰곰 청상추, 400g, 1봉",5,8370,7940,"(100g당1,985원)",,35,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7562479869371607-a3eb6e56-75a4-4f2e-9f7d-2546b647def5.jpg
"국내산 포기상추, 1kg, 1개",,,8900,(100g당890원),,41,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/70564597864184-7502467c-eead-4e9d-aa98-3bcffc7b6999.jpg
"한끼 쌈추, 80g, 1개",,,2090,"(100g당2,613원)",,39,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7642629340151786-b45cb01f-bd2e-4956-b02c-0fd439b71ed4.jpg
"국내산 친환경 적상추, 200g, 1개",6,4960,4640,"(100g당2,320원)",,106,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/172960589008360-c773c837-b923-47ed-96cb-c967dd990c45.jpg
"국내산 적상추, 150g, 1개",4,2480,2380,"(100g당1,587원)",,94,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/75168343261337-42c88aec-cf54-4b9d-9439-d49d5df68ad2.jpg
"한끼 청상추, 80g, 1개",,,2250,"(100g당2,813원)",,68,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/10413024751284312-dc01aeff-29f8-4b4a-baa0-4128667ad21d.jpg
"곰곰 국내산 GAP 청상추, 300g, 1개",,,5000,"(100g당1,667원)",,38,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1569865013546977-900d3784-9b66-47b5-9397-daca58c4edf4.jpg
"국내산 친환경 청상추, 200g, 1봉",,,4990,"(100g당2,495원)",,101,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1027858366095-f4bb4200-e8cb-421d-8a4e-a94590a43b9e.jpg
"국내산 친환경 청상추, 150g, 1봉",,,3980,"(100g당2,653원)",,107,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6918376616398158-41076dbe-acf0-4f09-aa89-45c56d094423.jpg
"곰곰 국내산 GAP 청상추, 150g, 1개",,,3350,"(100g당2,233원)",,115,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/269095016526827-c8a575b2-10a9-4409-a653-52d3cb9543b8.jpg
"GAP 청상추, 1봉, 300g",,,6990,"(100g당2,330원)",,76,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4595552521102516-32d9801f-292c-4047-9f5b-4ab4bfccbfd4.jpg
"국내산 GAP 반반상추, 200g, 1개",,,4370,"(100g당2,185원)",,147,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/75126667447118-4bd02394-bd63-42e4-8153-c232f4c62cd6.jpg
