name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"국내산 새송이 버섯, 2kg, 1개",,,9990,(100g당500원),내일(일) 새벽도착 보장,30596,500,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/11261903808874405-81cfc37a-a74a-4526-8296-e8f7a93f2d78.jpg
"국내산 미니 새송이버섯, 2KG, 1개",,,10660,(100g당533원),내일(일) 새벽도착 보장,1841,533,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/601325457697815-9d02bf28-46a3-4306-bc7c-2c7657b94931.jpg
"구이용 새송이 버섯 슬라이스, 500g, 1개",,,4980,(100g당996원),내일(일) 새벽도착 보장,1777,249,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/439524447148422-0c5b8d39-18d4-4994-aeb0-b538e7f0e9e8.jpg
"곰곰 친환경 미니 새송이버섯, 600g, 1개",,,3200,(100g당533원),내일(일) 새벽도착 보장,1755,160,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/389554635016814-35a32710-c163-44b6-be39-19cbe6df47a3.jpg
"친환경 뿌리가 손질된 새송이버섯, 900g, 1개",25,5980,4460,(100g당496원),내일(일) 새벽도착 보장,57728,223,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7789883783643584-b7728099-f205-413a-a5fb-99f7d095af74.jpg
"못생겨도 맛있는 새송이버섯, 600g, 1개",25,3870,2900,(100g당483원),내일(일) 새벽도착 보장,3186,145,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2028028715327422-fd721d16-4ddf-4593-b409-c28af6a6f5e9.jpg
"친환경 미니 새송이버섯, 600g, 1개",,,3190,(100g당532원),내일(일) 새벽도착 보장,51803,160,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/e2b4/aac36d8040541d000236efd642ba4ff3edd83969564a6aebd2e08c1ae28b.jpg
"못생겨도 맛있는 미니 새송이버섯, 500g, 1개",,,1990,(100g당398원),내일(일) 새벽도착 보장,4552,100,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4520348110700457-e162ae7f-c08a-458f-afaf-c39d56325e5b.jpg
"친환경 새송이버섯, 400g, 1개",,,2200,(100g당550원),내일(일) 새벽도착 보장,143733,110,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7866639772565393-337460eb-8e2d-4353-a98a-2e9ee42eb349.jpg
"미니 새송이버섯, 300g, 1개",19,1990,1600,(100g당533원),,5,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2643440668339168-035d44c7-61c0-4bd6-a3cf-85910ab9b6c5.jpg
"친환경인증 국내산 새송이버섯(뿌리있음), 400g, 2개",,,4400,(100g당550원),,63,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/267844499620836-eef47898-5ef2-444a-bfe3-f61e7eee38b6.jpg
"못생겨도 맛있는 미니 새송이버섯, 500g, 1개",,,1990,(100g당398원),,18,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4520348110700457-e162ae7f-c08a-458f-afaf-c39d56325e5b.jpg
"국내산 새송이 버섯, 1개, 170g",,,990,(100g당582원),,139,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/964270070731172-96854d19-3d99-4044-8e63-b4d01a7aefc6.jpg
"국내산 새송이 버섯, 2kg, 1개",,,9990,(100g당500원),,128,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/718761353211694-bf9f563d-1488-4f37-a7fe-718d648a9d64.jpg
"못생겨도 맛있는 새송이버섯, 600g, 1개",25,3870,2900,(100g당483원),,158,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2028028715327422-fd721d16-4ddf-4593-b409-c28af6a6f5e9.jpg
"구이용 새송이 버섯 슬라이스, 500g, 1개",,,4980,(100g당996원),,161,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/439524447148422-0c5b8d39-18d4-4994-aeb0-b538e7f0e9e8.jpg
"국내산 미니 새송이버섯, 2KG, 1개",,,10660,(100g당533원),,165,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/601325457697815-9d02bf28-46a3-4306-bc7c-2c7657b94931.jpg
"곰곰 친환경 미니 새송이버섯, 600g, 1개",,,3200,(100g당533원),,138,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/389554635016814-35a32710-c163-44b6-be39-19cbe6df47a3.jpg
"친환경 미니 새송이버섯, 200g, 1개",,,1330,(100g당665원),,209,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7884182512985795-5245c483-4890-40a5-8fa8-9197028588e7.jpg
"친환경 뿌리가 손질된 새송이버섯, 400g, 1개",4,2780,2650,(100g당663원),,163,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7121987447563342-166d0342-b725-46f1-a109-179e5fbe911c.jpg
"친환경 미니 새송이버섯, 600g, 1개",,,3190,(100g당532원),,245,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7788900660742078-12aab433-6af8-425c-98dd-919be303f3cf.jpg
"뿌리가 손질된 친환경인증 새송이버섯, 900g, 1개",25,5980,4460,(100g당496원),,331,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7789883783643584-b7728099-f205-413a-a5fb-99f7d095af74.jpg
"친환경 새송이버섯, 400g, 1개",,,2200,(100g당550원),,469,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7866639772565393-337460eb-8e2d-4353-a98a-2e9ee42eb349.jpg
"미니 새송이버섯, 300g, 1개",19,1990,1600,(100g당533원),,52,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_2_max3k/92e1/3703afafc24edf4b6ae325f16edae3b2a698ec2837e3a6015fb419f91775.jpg
"친환경 인증 국내산 뿌리손질된 새송이버섯, 600g, 1개",25,3990,2980,(100g당497원),,788,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7856885931035719-d6fb99f1-c6c4-49c5-b7c8-d094b7615919.jpg
