name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"햇님마을 양념이 잘 어우러지는 국산 고춧가루 보통매운맛, 110g, 1개",,,6900,"(100g당6,273원)",내일(일) 새벽도착 보장,4546,345,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1921225291894679-fa64a6d0-47cc-45ac-a002-9edec7f64535.jpg
"풀무원 국산 홍 고춧가루, 200g, 1개",,,17900,"(100g당8,950원)",내일(일) 새벽도착 보장,2669,895,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/42340553301673-b3e8698e-9a18-47c5-b9ac-6af018bbbcbd.jpg
"청정원 유기농 황설탕, 1kg, 1개",12,6980,6090,(100g당609원),내일(일) 새벽도착 보장,2587,305,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3843851803970149-5cb12dcb-07ef-4596-bb81-2a22114272d2.jpg
"채운 고춧가루, 500g, 1개",7,17900,16540,"(100g당3,308원)",내일(일) 새벽도착 보장,189,827,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2980486943498579-35e5c854-937f-499f-ac41-4cb1eafa3244.jpg
"설탕대신 스테비아, 400g, 1개",18,7980,6490,"(100g당1,623원)",내일(일) 새벽도착 보장,4530,325,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/384182333557281-306b9e1d-ba66-4c88-8cf3-3ff6956e2f20.jpg
"청정원 천일염 구운소금, 1kg, 1개",22,8680,6760,(100g당676원),내일(일) 새벽도착 보장,127,338,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_2_max3k/0bad/9aecf9ed0d9aa325eb1ca9ee125f0e297e743845e511feadede3d7025e5d.jpg
"닥터트루 설탕 0g 스키니 스테비아, 1개, 350g",35,5500,3550,"(100g당1,014원)",내일(일) 새벽도착 보장,303,178,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_7_max3k/bd48/abed6d8c0f0e87a3fc393828141ddf6223d82d3d2ff85c17636bc7f49378.jpg
"햇님마을 국물 땡기는 고운 고춧가루 120g (보통 매운맛), 1개",43,36200,20530,"(100g당17,108원)",8/30(금)도착 예정,7806,1026,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/50f2/bfb7cbf17533c365836bbd53fb2780567b6260170b8cb8ed23f37784a22e.png
"햇님마을 국물땡기는 국산 고운 고춧가루 보통매운맛, 240g, 1개",,,32870,"(100g당13,696원)",8/30(금)도착 예정,18,1644,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a942/1be5cc13a30944f9fdef368565959279ca5e05a1236af1d16420213326bd.png
"햇님마을 국물땡기는 국산 청양초100% 고운 고춧가루 매우매운맛, 120g, 1개",,,9400,"(100g당7,833원)",내일(일) 새벽도착 보장,924,470,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1921224310095087-947e926c-5af9-436e-8034-b04fc719a2de.jpg
"미원 맛소금, 500g, 1개",,,2680,(100g당536원),내일(일) 새벽도착 보장,156,134,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_4_max3k/ea8e/e6d8dbc8d35ce4c5741a5ebfac872054922ffd35e1da629ae48d697edd3a.jpg
"청정원 천일염 가는 소금, 1kg, 1개",6,7330,6820,(100g당682원),내일(일) 새벽도착 보장,1237,341,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_3_max3k/42cb/76609247a7350365387557ffd53bd45aefa6a65dfb94cae8e74b9d64c459.jpg
"햇님마을 국물땡기는 국산 고운 고춧가루 보통매운맛, 600g, 1개",,,74950,"(100g당12,492원)",8/30(금)도착 예정,,3748,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a80c/aa2d59bacfd801c19894e4116b6c3c6b684120fc51074c73de883ccb8f45.png
"고추연구소 고운 고춧가루, 1kg, 1개",,,13690,"(100g당1,369원)",내일(일) 새벽도착 보장,150,685,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_3_max3k/a8e1/8be7f1308199f821c787863862d5a8013a68598d25a049fe734341788fa7.jpg
"곰곰 양념용 국산 고춧가루 보통매운맛, 110g, 1개",18,7700,6290,"(100g당5,718원)",내일(일) 새벽도착 보장,68,315,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_7_max3k/a783/7939a359639ab4c436c1cadb595cb570d4b4a7522d3719c8c6cd9990c1cd.jpg
"청정원 순수천혜염 천일염 굵은소금, 2.5kg, 1개",12,12880,11220,(100g당449원),내일(일) 새벽도착 보장,1227,561,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_6_max3k/7855/dfc39cd886b242a86b51e83c2715959b4eaa76d2b360942d2c23ae8a7a00.jpg
"내츄럴스파이스 페페로치노 홀, 34g, 1개",1,8530,8400,"(10g당2,471원)",내일(일) 새벽도착 보장,2346,420,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1552550951209571-ce48f7d2-11e2-4a1a-b0a6-1fddb8d87956.jpg
"신대감 옹고집 고추가루 보통맛 찜 무침용, 1kg, 1개",,,12900,"(100g당1,290원)",내일(일) 새벽도착 보장,335,645,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/07/30/16/7/75efed24-6630-4732-80bc-6b9d237613cd.jpg
"복이네먹거리 베트남 고운 고춧가루 매운맛 청양 소스용, 100g, 1개",21,5900,4650,"(100g당4,650원)",내일(일) 새벽도착 보장,83,233,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1461968300425380-76f1782b-6c3c-4df0-8a15-415e6f38b57f.jpg
"청정원 허브맛솔트 순한맛, 52g, 1개",7,2840,2620,(10g당504원),내일(일) 새벽도착 보장,259,131,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_4_max3k/92ba/bd7ef999e8011496ffbb846d559a1fa0fefb7515badcdec3401471f848ad.jpg
"몬타스코 히말라야 굵은 핑크소금, 500g, 1개",18,7490,6070,"(100g당1,214원)",내일(일) 새벽도착 보장,241,304,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf40k_batch_1_max3k/56a9/92f617ae7a49a894732b1acbd79cc4983931ae23442ab3959fb20e9e2589.jpg
"복이네먹거리 중국산 고추가루 보통맛 김치용, 1kg, 1개",3,12900,12500,"(100g당1,250원)",내일(일) 새벽도착 보장,100,625,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/whtqkdci/57f57006a1e746d59f7d85153a367ebc.jpg
"청정원 유기농 설탕 흑설탕, 1kg, 1개",18,6980,5700,(100g당570원),내일(일) 새벽도착 보장,719,285,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3843851982679467-cc327d53-9758-4dc8-8114-7384c222317c.jpg
"햇살나래 해가원 깨끗한 고춧가루, 100g, 1개",,,3650,"(100g당3,650원)",내일(일) 새벽도착 보장,135,183,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf40k_batch_1_max3k/145b/5abfef013a9714f4c8bc231fc97e3074a5541936803f3984cd7387fcb364.jpg
"해표 꽃소금, 1kg, 1개",,,2040,(100g당204원),내일(일) 새벽도착 보장,277,102,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/07/11/3/ef33ce49-5285-4677-9d74-f0a9e111f198.jpg
"퓨어스윗 비정제 사탕수수원당, 3kg, 1개",,,7870,(100g당262원),내일(일) 새벽도착 보장,891,394,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_2_max3k/d13f/b2d3ed030281a49b0f96b8875293ab7c978e6ed59f365fba73719bdc5e42.jpg
"곰곰 국내산 고춧가루, 600g, 1개",24,25900,19590,"(100g당3,265원)",내일(일) 새벽도착 보장,178,980,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf40k_batch_0_max3k/ac61/7608a7f567e509d769a561f729f80cf8204aab7c34d09d3da4e10c8260e0.jpg
"산체스 히말라야 핑크소금 그라인더, 425g, 1개",,,9980,"(100g당2,348원)",내일(일) 새벽도착 보장,31,499,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13340594377783877-d1d5f24c-5141-4dd6-82a2-f7dda16d6bc6.jpg
"곰곰 국산 청양고춧가루, 150g, 1개",39,15800,9590,"(100g당6,393원)",내일(일) 새벽도착 보장,134,480,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2285614902992536-2e4d704d-8378-4128-ab6b-3746a13d954a.jpg
"청정원 허브맛 솔트 마늘 & 양파, 1개, 52g",13,2840,2450,"(100g당4,712원)",내일(일) 새벽도착 보장,257,123,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_4_max3k/2187/02e62dbc9246adc2d82fb5ae68f4425665a04e274ed93b94b96b9bb62fb4.jpg
"곰곰 국내산 고춧가루, 1kg, 1개",21,39000,30590,"(100g당3,059원)",내일(일) 새벽도착 보장,24,1530,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/03/14/4408475808/fed11ff9-ec70-483c-a557-b7bd70353a3e.jpg
"큐원 하얀 설탕, 1개, 3kg",11,6340,5600,(100g당187원),내일(일) 새벽도착 보장,137,280,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_4_max3k/46f4/cee8d1dfd9bcae7ec53a8ad6698b751faa9af76f3a9e37dccbd01775709b.jpg
"우리존 자연미가 비정제 유기농 갈색설탕, 1kg, 1개",,,5270,(100g당527원),내일(일) 새벽도착 보장,549,264,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/06/27/4363461064/b395ffec-2928-4509-aa94-e1f4ba5b29f7.jpg
