name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"풀무원 튜브형 고소쌈장, 360g, 1개",11,4680,4160,"(100g당1,156원)",내일(일) 새벽도착 보장,29501,208,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3281424924600205-348e4f7f-4298-46ff-a762-35b0c746d4a4.jpg
"청정원순창 깔끔 매콤한 고기전용 쌈장, 450g, 1개",48,7200,3740,(100g당831원),내일(일) 새벽도착 보장,1977,187,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/470933277668279-d75b4233-7ae2-49cb-8055-61d02d4ed01b.jpg
"풀무원 튜브형 매콤 쌈장, 360g, 1개",6,4680,4380,"(100g당1,217원)",내일(일) 새벽도착 보장,13165,219,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/874276630990122-cfff2c88-a7da-45b2-92a4-7484ddb4400e.jpg
"순창궁 양념쌈장, 170g, 1개",,,1680,(100g당988원),내일(일) 새벽도착 보장,715,84,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/17/14/2/e9be890f-af68-487f-8c1b-01567ae89017.jpg
"풀무원 매콤 쌈장, 450g, 1개",10,5580,4980,"(100g당1,107원)",내일(일) 새벽도착 보장,6815,249,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1001363005209284-3cc5fbdb-9c91-4c50-9d68-4263c2d1bacb.jpg
"풀무원 고소견과쌈장, 450g, 1개",,,5380,"(100g당1,196원)",내일(일) 새벽도착 보장,1104,269,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1167174753264611-4154c7e7-a06e-4149-beb7-7be75a93b6ac.jpg
"신송 짠맛을줄인 건강한 양념쌈장, 1kg, 1개",19,6980,5620,(100g당562원),내일(일) 새벽도착 보장,142,281,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/05/02/3033625107/890d272d-5843-40f9-9c8c-31dc8180b040.jpg
"청정원 순창 양념듬뿍 쌈장, 3kg, 1개",37,20800,12900,(100g당430원),내일(일) 새벽도착 보장,260,645,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6531288575704586-4ea7e182-7d8f-4b3d-97a7-ee3fca80d18f.jpg
"움트리 짜먹는 잘익은 쌈장, 120g, 1개",20,2950,2350,"(100g당1,958원)",내일(일) 새벽도착 보장,24,118,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5733009488985531-b5eb08a7-0ec2-4379-b789-7351aaac4d50.jpg
"샘표 매콤 쌈토장, 450g, 1개",,,4000,(100g당889원),내일(일) 새벽도착 보장,90,200,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/122093039739785-68b1ae19-be24-4178-a7cc-8c37d9e04448.png
"MAEK 쌈장, 450g, 1개",,,14200,"(100g당3,156원)",내일(일) 새벽도착 보장,275,710,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/rgavsez1/04475a784ed94147963a84760b4db7ae.jpg
"권기옥 명인 웃말 쌈장, 500g, 1개",6,16500,15350,"(100g당3,070원)",내일(일) 새벽도착 보장,1045,768,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/11/23/10/3/2044d428-bc7b-44e7-918b-e3692d8a4a25.jpg
"몽크슈 순창 장인 쌈장 with 알룰로스, 200g, 1개",,,8980,"(100g당4,490원)",내일(일) 새벽도착 보장,7,449,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/827865939363916-11da004a-7b7b-4efc-a45a-885aa6399d39.jpg
"다담 양념듬뿍 쌈장, 570g, 1개",24,6480,4880,(100g당856원),내일(일) 새벽도착 보장,10828,244,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1838299352456056-72b80447-5cf5-4e9b-a78e-b7c5af3df69a.jpg
"무화당 알룰로스 쌈장, 1개, 250g",,,11380,"(100g당4,552원)",내일(일) 새벽도착 보장,183,569,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1651984804964721-6b138d9e-f787-4f2b-a5db-c5f1231a3db5.jpg
"특별한맛 고맙당 저당 쌈장, 385g, 1개",6,18500,17320,"(100g당4,499원)",내일(일) 새벽도착 보장,87,866,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/uthnvpr0/5e25c9a60a6d4c929f06a08dc2836f0d.jpg
"순창문옥례식품 우리콩 전통 쌈장, 500g, 1개",,,13900,"(100g당2,780원)",내일(일) 새벽도착 보장,4,695,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/04/17/18/3/510cabe1-76a1-4799-8115-1982dbec4c3a.jpg
"남도애꽃 야채듬뿍 수제보리쌈장, 300g, 1개",,,8900,"(100g당2,967원)",내일(일) 새벽도착 보장,334,445,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/94414208099763-4619ebcf-498f-4a69-9e31-140ce88480ed.jpg
"피아골미선씨 휴대가 간편한 파우치형 만능쌈장, 230g, 1개",,,10550,"(100g당4,587원)",내일(일) 새벽도착 보장,110,528,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/11/26/21/8/3dd64872-47b9-4d9b-bc3d-0a77e288b1b9.jpg
"기순도 쌈장, 500g, 1개",10,20000,17900,"(100g당3,580원)",내일(일) 새벽도착 보장,17,895,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7987437065050959-b581dcfd-d4b5-4a89-b48e-580431a6d154.jpg
"기순도 쌈장, 230g, 1개",,,10300,"(100g당4,478원)",내일(일) 새벽도착 보장,25,515,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7987498084828226-d69249b1-68aa-45b2-b603-012fbc89b99f.jpg
"피아골미선씨 만능쌈장, 250g, 1개",,,9500,"(100g당3,800원)",내일(일) 새벽도착 보장,252,475,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/11/26/21/1/21bb33e9-8489-40b4-a48e-f5c9732370de.jpg
"올가홀푸드 전통 쌈장, 500g, 1개",,,12540,"(100g당2,508원)",내일(일) 새벽도착 보장,163,627,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1478601150429677-f40c3393-657c-4cc1-b73a-09f4fe3b6ede.jpg
"담가 성가정 쌈장, 500g, 1개",,,11070,"(100g당2,214원)",내일(일) 새벽도착 보장,112,504,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/99924016166698-3dc225ee-d063-425d-84ec-b84823dbb71b.jpg
"권기옥 명인 웃말 꽁보리 막장, 450g, 1개",,,13380,"(100g당2,973원)",내일(일) 새벽도착 보장,76,669,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/63161153648423-9981c892-5f8a-4b43-901d-ce6873d5e83c.jpg
"일미식품 국내산 갈치로 만든 젓갈쌈장, 500g, 1개",,,12500,"(100g당2,500원)",내일(일) 새벽도착 보장,71,625,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2176683592688608-4fb4be6b-b928-46a3-9ffb-15b7c4f28079.jpg
"피아골미선씨 만능쌈장, 340g, 1개",,,13350,"(100g당3,926원)",내일(일) 새벽도착 보장,16,668,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/05/27/17/4/dcee396a-fe03-4d31-beb1-dfb807897699.jpg
"일미식품 국내산 갈치로 만든 젓갈쌈장, 500g, 1개",,,12500,"(100g당2,500원)",,480,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2176683592688608-4fb4be6b-b928-46a3-9ffb-15b7c4f28079.jpg
"MAEK 쌈장, 450g, 1개",,,14200,"(100g당3,156원)",,1,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/rgavsez1/04475a784ed94147963a84760b4db7ae.jpg
"몽크슈 순창 장인 쌈장 with 알룰로스, 200g, 1개",,,8980,"(100g당4,490원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/827865939363916-11da004a-7b7b-4efc-a45a-885aa6399d39.jpg
"몽크슈 순창 장인 쌈장 with 알룰로스, 500g, 1개",,,17700,"(100g당3,540원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/35326228783412-0feaa9b1-5e90-41c1-93f5-3b42ef4d429f.jpg
"순창문옥례식품 우리콩 전통 쌈장, 500g, 1개",,,13900,"(100g당2,780원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/04/17/18/3/510cabe1-76a1-4799-8115-1982dbec4c3a.jpg
