name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"곰곰 국내산 주키니 호박, 1개입, 1개",,,3490,"(1개당3,490원)",내일(일) 새벽도착 보장,5042,175,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5340521876422372-4a2986f9-0bc8-4351-b116-3f6b03a1e9da.jpg
"국내산 친환경 애호박, 1개입, 1개",48,3290,1680,"(1개당1,680원)",내일(일) 새벽도착 보장,8161,84,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/617252293644634-87f32897-cbbd-4e73-9369-3b624f9b6e43.jpg
"못생겨도 맛있는 애호박, 3개입, 1개",13,4990,4300,"(1개당1,433원)",내일(일) 새벽도착 보장,1951,215,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1194343077584747-36a791d5-bc71-4c3c-9cc1-78429da37949.jpg
"못생겨도 맛있는 애호박 1입, 1개입, 1개",12,1660,1460,"(1개당1,460원)",내일(일) 새벽도착 보장,34552,73,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1845911457723088-8911a3cc-0274-4ad7-bb6f-696aea588fc2.jpg
"국내산 GAP 애호박, 1개입, 1개",25,1990,1480,"(1개당1,480원)",내일(일) 새벽도착 보장,25609,74,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/84673087358025-4393ede9-90e5-4040-933a-93dd7934ca71.jpg
"국내산 애호박, 1개입, 1개",25,1980,1480,"(1개당1,480원)",내일(일) 새벽도착 보장,388542,74,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/438319943630087-5f42d558-1a49-4634-8dcc-cfe7ba66a482.jpg
"곰곰 국내산 주키니 호박, 1개",,,3490,"(1개당3,490원)",,557,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5340521876422372-4a2986f9-0bc8-4351-b116-3f6b03a1e9da.jpg
"국내산 GAP 애호박, 1개",25,1990,1480,"(1개당1,480원)",,696,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/84673087358025-4393ede9-90e5-4040-933a-93dd7934ca71.jpg
"못생겨도 맛있는 애호박 1입, 1봉",12,1660,1460,,,1386,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1845911457723088-8911a3cc-0274-4ad7-bb6f-696aea588fc2.jpg
"국내산 애호박, 1개",25,1980,1480,"(1개당1,480원)",,3469,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2173945105758117-e8c58817-ba26-489c-92b6-6094d0c120f1.jpg
"국내산 친환경 애호박, 1개",26,2170,1600,,,19,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1542595386154545-4f08d75b-44c3-4cb5-a86a-627d6ffb6114.jpg
"애호박 국내산, 1kg, 1개",49,6900,3500,,,108,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/866887064817831-f803b912-dcb4-4716-87fe-946b0ab62e2f.jpg
"GAP 진주 애호박, 240g, 1개",,,1700,,,25,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13371619800507049-6915e573-cffb-4848-8fb2-0b98d3c83885.jpg
"국내산 GAP 애호박, 1개",,,2960,"(1개당1,480원)",,123,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/11137443874341-0354ed7e-61be-40f3-bc90-58ad7a0137a5.png
"못생겨도 맛있는 애호박, 3입",13,4990,4300,"(1개당1,433원)",,98,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1194343077584747-36a791d5-bc71-4c3c-9cc1-78429da37949.jpg
"국내산 주키니호박, 1개",,,3490,"(1개당3,490원)",,453,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/72411609464802-507bd8ac-e6fe-40a9-aa69-1ad27b96fa35.jpg
"국내산 친환경 애호박, 1개",48,3290,1680,"(1개당1,680원)",,503,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/617252293644634-87f32897-cbbd-4e73-9369-3b624f9b6e43.jpg
"곰곰 국내산 인큐 애호박, 1개",25,3960,2960,"(1개당1,480원)",,740,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6117716668395108-f0877393-ae74-49c4-a0de-ee48ab9f4865.jpg
"국내산 애호박, 1개",,,2960,"(1개당1,480원)",,1193,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/438334949528234-027a9ccf-1ebe-419c-8f5c-b16729d782cb.jpg
"곰곰 국내산 인큐 애호박, 1개",21,1880,1480,"(1개당1,480원)",,1332,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6668082379742735-e18cbfa5-d33f-45e6-a777-494333e2cda9.jpg
"국내산 주키니호박, 1개입, 1개",,,3490,"(1개당3,490원)",,9258,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/72411609464802-507bd8ac-e6fe-40a9-aa69-1ad27b96fa35.jpg
