name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"국내산 유기농 양배추, 1통, 1개",,,6530,"(1개당6,530원)",내일(일) 새벽도착 보장,6589,326,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/68969511903588-b5984b78-44ef-48ea-b2e7-4ecf3cf2995c.jpg
"팜에이트 양배추와 적채믹스, 1kg, 1개",,,7990,"(1개당7,990원)",내일(일) 새벽도착 보장,2485,400,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6344423053095548-271ff03c-9f72-48aa-9d6a-cd3151cf6370.jpg
"국내산 샐러드용 사각썰기 양배추, 1kg, 1개",,,6890,(100g당689원),내일(일) 새벽도착 보장,4292,345,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/20834154663546-4142224f-2c5b-471a-94a7-2ddc7d8b846c.jpg
"미국산 방울 다다기양배추, 200g, 1개",,,6280,"(100g당3,140원)",내일(일) 새벽도착 보장,112,314,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3030445182592462-8168216e-aea6-42fd-81d7-94eeccd8e8cd.jpg
"멕시코산 방울다다기 양배추, 250g, 1개",12,7990,6980,"(100g당2,792원)",내일(일) 새벽도착 보장,14,349,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3076934685523399-89a84ea6-b2f0-4283-8cb9-c3a87cd9a24b.jpg
"양배추와 적채믹스, 500g, 1개",,,5200,"(1개당5,200원)",내일(일) 새벽도착 보장,10602,260,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4232640339435507-bf128bcd-3a3e-401b-aa1b-457c968e37e5.jpg
"곰곰 사각썰기 양배추, 1kg, 1개",10,5480,4900,"(1개당4,900원)",내일(일) 새벽도착 보장,13945,245,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/805002444971237-df5c7a37-322d-4ae4-b24b-12b414b6982a.jpg
"그린즈 미니 양배추 (냉동), 1kg, 1개",18,6590,5390,(100g당539원),내일(일) 새벽도착 보장,2124,270,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/31291299855021-c26aad75-8162-4c03-8ad6-50d713ee200e.jpg
"제주 적양배추 1/2통 250g, 1개",,,3190,"(100g당1,276원)",내일(일) 새벽도착 보장,3482,160,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7940905315601364-70682f10-30d9-47f1-af14-4fc0edbee8e1.jpg
"친환경 꼬마 양배추, 500g, 1개",12,3880,3380,(100g당676원),내일(일) 새벽도착 보장,431,169,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4333568309221603-966a70ca-831e-47c3-8201-de3f6fd99be2.jpg
