name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"GAP인증 양상추, 2개입, 1개",,,6990,"(1개당3,495원)",내일(일) 새벽도착 보장,12698,350,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/10903434968196805-bce0ead2-6555-4bd3-a8bd-fb038dee5e19.jpg
"국내산 친환경 적채, 250g, 1개",,,3390,"(100g당1,356원)",내일(일) 새벽도착 보장,1666,170,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1061017742565719-9e2ef3bf-b54b-48d8-b990-0f000f28ed27.crdownload
"중국산 절단 신선 양상추, 500g, 1개",,,3990,(100g당798원),내일(일) 새벽도착 보장,3365,200,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/10224488993682360-78830532-e156-4e8a-96e5-d28601e56312.jpg
"국내산 양상추, 1통, 1개",,,2990,"(1개당2,990원)",내일(일) 새벽도착 보장,24559,150,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1577776216391897-376075e9-cd1d-48cc-89db-ea4c8e05cacf.jpg
"곰곰 양상추, 1개입, 1개",,,2990,"(1개당2,990원)",내일(일) 새벽도착 보장,223175,150,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/508128111796029-ddcd3a7a-1aea-45e2-a929-f41c77e11348.jpg
"롯데푸드 양상추 슬라이스, 800g, 1개",,,7900,"(1개당7,900원)",내일(일) 새벽도착 보장,899,395,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3704659731469228-8e2f6f6b-c5fb-4057-968a-027bf1edd28d.jpg
"중국산 절단 신선 양상추, 500g, 1개",,,3990,(100g당798원),,171,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/10224488993682360-78830532-e156-4e8a-96e5-d28601e56312.jpg
"간편 양상추, 200g, 1개",,,2400,"(1개당2,400원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4918694923525980-957ad298-4b3e-4241-beeb-3a02ec6cc6b1.jpg
"간편 양상추, 200g, 1개",,,2240,"(1개당2,240원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4918694923525980-957ad298-4b3e-4241-beeb-3a02ec6cc6b1.jpg
"국내산 양상추, 250g, 1통",,,1990,"(1개당1,990원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13348258382213-eb69f41a-008a-41e7-9b0e-a5f66f5255ad.JPG
"국내산 양상추, 1개",24,5250,3980,"(1개당1,990원)",,10,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/136950935169971-e062d4d3-c597-4777-acde-fc0f3ede881b.jpg
"롯데푸드 양상추 슬라이스, 800g, 1개",,,7900,"(1개당7,900원)",,68,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3704659731469228-8e2f6f6b-c5fb-4057-968a-027bf1edd28d.jpg
"곰곰 친환경 버터헤드레터스, 90g, 1개",28,3840,2740,"(1개당2,740원)",,39,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/585549943482957-de3def5b-1046-4cb7-a900-0733843a8488.jpg
"국내산 친환경 적채, 1개, 250g",,,3390,"(100g당1,356원)",,122,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1061017742565719-9e2ef3bf-b54b-48d8-b990-0f000f28ed27.crdownload
"GAP인증 양상추, 1개",,,3990,"(1개당3,990원)",,139,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/10149395533719314-802fe498-930e-4064-8a97-d512fe2e36fc.jpg
"GAP인증 양상추, 1개, 1kg",,,7990,(100g당799원),,69,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/12563540101264894-0988aa33-6b40-42d5-9030-becf8044a6fa.jpg
"곰곰 친환경 양상추, 1개",,,5990,"(1개당5,990원)",,150,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/320282501273409-555e8cfc-17ec-43d7-bff3-19acbc7d0d8d.jpg
"국내산 친환경 양상추, 1봉",,,5990,"(1개당5,990원)",,90,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/84989690668249-60f0223a-5d70-4450-8647-329a3b010452.jpg
"GAP인증 양상추, 1개",,,6990,"(1개당3,495원)",,288,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/10903434968196805-bce0ead2-6555-4bd3-a8bd-fb038dee5e19.jpg
"곰곰 양상추 2입, 1개",16,4990,4150,"(1개당2,075원)",,1197,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/263157407456824-ff05d35a-f5eb-463b-a387-b30e45eb3941.jpg
"곰곰 양상추, 1개",,,2990,"(1개당2,990원)",,1688,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/508128111796029-ddcd3a7a-1aea-45e2-a929-f41c77e11348.jpg
"국내산 양상추, 1개",,,2990,"(1개당2,990원)",,1344,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1577776216391897-376075e9-cd1d-48cc-89db-ea4c8e05cacf.jpg
"중국산 신선 양상추, 1개입, 1개",19,4190,3380,"(1개당3,380원)",,112,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5743534367349534-575640b1-d64f-4259-9736-538ab48434fa.jpg
"곰곰 친환경 양상추, 1개입, 1개",,,5990,"(1개당5,990원)",,8556,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/320282501273409-555e8cfc-17ec-43d7-bff3-19acbc7d0d8d.jpg
