name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"GAP 양송이버섯, 200g, 1개",9,5390,4880,"(100g당2,440원)",내일(일) 새벽도착 보장,21075,244,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/92259046798756-45e629f0-58ee-4586-83b0-3bab2fba1e7f.jpg
"GAP 한끼 양송이버섯, 80g, 1팩",,,2590,"(100g당3,238원)",내일(일) 새벽도착 보장,569,130,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3452924514084195-3f537e10-a22e-4c3c-b1ed-e3184360189c.jpg
"못생겨도 맛있는 양송이버섯, 1개, 300g",,,5290,"(100g당1,763원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/143851680809713-5b21659d-8286-417d-9d57-ff6b7851ca49.jpg
"자연산 송이버섯 가정용 (냉동), 200g, 1개",,,13900,"(100g당6,950원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/04/14/10/3/89ec1925-d6d3-4347-a675-752f8bbbe522.jpg
"스테이크용 양송이&채소 2종, 180g, 1봉",,,4350,"(100g당2,417원)",,9,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1323896001606555-acd1e712-fb45-4697-af32-36ea9a6c2a00.jpg
"양송이버섯 국내산, 2KG, 1개",8,32660,29800,"(100g당1,490원)",,37,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/718754761514053-39ff495b-84bf-4821-a802-fc40f4765c36.jpg
"친환경 인증 국내산 양송이버섯, 150g, 1개",,,4190,"(100g당2,793원)",,151,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/682803676257203-5acc4c63-0b46-4d87-bcd4-1a955c99e4d1.jpg
"GAP 꼬마 양송이버섯, 300g, 1개",,,5680,"(100g당1,893원)",,152,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/686211879749827-acaff57a-b82a-45eb-8616-e6182eee1bab.jpg
"GAP 한끼 양송이버섯, 80g, 1팩",,,2590,"(100g당3,238원)",,67,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3452924514084195-3f537e10-a22e-4c3c-b1ed-e3184360189c.jpg
"국내산 미니 양송이버섯, 200g, 1팩",14,3490,2990,"(100g당1,495원)",,66,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/756344598118518-729d49f6-9a7e-4f5d-9cac-e57187082d3c.jpg
"국내산 구이용 양송이버섯, 300g, 1개",3,5980,5790,"(100g당1,930원)",,441,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1323932162993193-226aa08b-10c6-488f-9655-262ef51cc97d.jpg
"GAP 양송이버섯, 200g, 1개",9,5390,4880,"(100g당2,440원)",,446,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/92259046798756-45e629f0-58ee-4586-83b0-3bab2fba1e7f.jpg
"국내산 구이용 양송이버섯, 140g, 1개",,,3490,"(100g당2,493원)",,207,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4261729137067154-b2e9a651-82c9-41d2-8e7a-7081ab0d9ff8.jpg
"스테이크용 양송이&채소 2종, 180g, 1봉",,,4990,"(100g당2,772원)",,608,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1323896001606555-acd1e712-fb45-4697-af32-36ea9a6c2a00.jpg
"친환경 인증 국내산 양송이버섯, 150g, 1개",,,4190,"(100g당2,793원)",,5535,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/682803676257203-5acc4c63-0b46-4d87-bcd4-1a955c99e4d1.jpg
"자연산 송이버섯 가정용 (냉동), 200g, 1개",,,13900,"(100g당6,950원)",,54,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/04/14/10/3/89ec1925-d6d3-4347-a675-752f8bbbe522.jpg
"못생겨도 맛있는 양송이버섯, 300g, 1개",,,5290,"(100g당1,763원)",,15,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/143851680809713-5b21659d-8286-417d-9d57-ff6b7851ca49.jpg
"국내산 구이용 양송이버섯, 300g, 1개",3,5980,5790,"(100g당1,930원)",,28314,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1323932162993193-226aa08b-10c6-488f-9655-262ef51cc97d.jpg
"GAP 꼬마 양송이버섯, 300g, 1개",,,5680,"(100g당1,893원)",,5307,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_3_max3k/22ad/9c8f96e183429b05360080d2c8e56df577a7291bd073aa07854210681cca.jpg
"국내산 미니 양송이버섯, 200g, 1팩",14,3490,2990,"(100g당1,495원)",,4056,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/4abb/8a7d1df26d542087dd16829d14317e660d6caef1d4a74f29cb176f914309.jpg
