name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"다향오리 1등급 훈제 오리 슬라이스, 600g, 1개",12,13720,11980,"(100g당1,997원)",내일(일) 새벽도착 보장,164738,599,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/b6ed/a19e73bbc40a137739e1676833f7aff5601c0928b953eed98dc515686fcc.jpg
"다향오리 오리로스 구이용 (냉장), 1kg, 1개",13,22990,19970,"(100g당1,997원)",내일(일) 새벽도착 보장,16120,999,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2882286717833562-66fee6f2-5435-470c-b7ef-10e9603e78d3.jpg
"다향오리 무항생제 인증 우리땅 오리 다리살 슬라이스 (냉장), 500g, 1개",34,18400,12120,"(100g당2,424원)",내일(일) 새벽도착 보장,2905,606,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3735452509259844-4f0b8811-07d1-4eba-b25b-16678ee552ba.jpg
"다향오리 구워서 바로먹는 오리 대패겹살 (냉동), 1kg, 1개",4,22990,21900,"(100g당2,190원)",내일(일) 새벽도착 보장,15486,1040,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/11/13/16/5/f3297141-23b4-4f00-a12f-3e79ed0bcb2a.jpg
"주원산오리 오리로스 (냉동), 1kg, 1개",13,24990,21590,"(100g당2,159원)",내일(일) 새벽도착 보장,3148,1080,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/271929366770060-743ab72d-e1e2-4bd8-96d1-1f40e3f1c38e.jpg
"다향오리 무항생제 인증 우리땅 오리 가슴살 슬라이스 (냉장), 500g, 1개",13,12990,11280,"(100g당2,256원)",내일(일) 새벽도착 보장,1157,564,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3776865422748819-46831dfc-9799-45f9-9ae9-5c213b633d03.jpg
"GAMI 흑후추 훈제오리 가슴살 슬라이스 (냉동), 160g, 6개",19,21910,17570,"(100g당1,830원)",내일(일) 새벽도착 보장,2515,879,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_1_max3k/3d6e/c55da7ef3f8d6d4847f0da0e869a8fd436ce0e6b22fc36bb12df7503c47f.jpg
"주원산오리 목살 (냉동), 1kg, 1팩",,,13900,"(100g당1,390원)",내일(일) 새벽도착 보장,1338,695,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/246087243695581-d1cc47f0-ad54-4fe9-a78a-6d4bd1baa1c0.jpg
"다향오리 통오리 백숙용 (냉장), 1.6kg, 1개",,,15980,(100g당999원),내일(일) 새벽도착 보장,8459,799,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/86397197213928-46fd79a9-e79e-4bc8-bcec-0190ce53e454.jpg
"정다운 오리로스 구이용 (냉장), 1kg, 1개",8,23900,21800,"(100g당2,180원)",내일(일) 새벽도착 보장,5818,1090,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6149332955919-195cfa56-49a8-482e-8af1-e9469ab70f44.jpg
"주원산오리 오리슬라이스 (냉장), 1kg, 1팩",,,24000,"(100g당2,400원)",내일(일) 새벽도착 보장,7067,1200,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3817626260779543-fd8fe59a-93f2-448e-ba91-3db04a043976.jpg
"곰곰 구워서 바로먹는 오리 대패겹살 (냉동), 1kg, 1개",11,22990,20380,"(100g당2,038원)",내일(일) 새벽도착 보장,1927,1019,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3044595206566226-51d4313f-1865-4683-bd5b-7a2d4b523351.jpg
