name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"미니오이, 10입, 1개",,,8490,(1개당849원),내일(일) 새벽도착 보장,12585,425,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/167339704167283-297cf71e-7393-4e1a-8f3c-63973be6cb37.jpg
"못생겨도 맛있는 취청오이, 5개입, 1개",,,7710,"(1개당1,542원)",내일(일) 새벽도착 보장,3279,385,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2462714642523425-1d878028-03c1-495b-930f-64e79d6d8799.jpg
"취청오이, 1개",,,7750,"(1개당1,550원)",내일(일) 새벽도착 보장,708,388,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3915474336449530-74f4a838-561f-4527-a02c-55cbe7c374ca.jpg
"국내산 가시오이, 3개입, 1개",,,5980,"(1개당1,993원)",내일(일) 새벽도착 보장,7524,299,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/188876706869253-02624c3c-9e1a-417c-bc46-b4a7507fa8f6.jpg
"국내산 친환경 오이, 3개입, 1개",32,6300,4280,"(1개당1,427원)",내일(일) 새벽도착 보장,4070,214,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2772370192257592-89bb8f0e-f9cf-4d31-8922-e6e36f20d2c7.jpg
"GAP 백오이, 5개입, 1개",,,9000,"(1개당1,800원)",내일(일) 새벽도착 보장,14709,450,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13417129422844-ec6ab8a1-0df5-42b4-aa84-8f4f76bfdd37.jpg
"곰곰 국내산 취청오이, 3입, 1개",,,4770,"(1개당1,590원)",내일(일) 새벽도착 보장,45354,239,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5914218858932110-836ffdca-5f2e-4d48-9cd8-04bcac0d2ee2.jpg
"국내산 취청오이, 3개입, 1개",,,4770,"(1개당1,590원)",내일(일) 새벽도착 보장,15433,239,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/91225145292014-939d7844-25e8-4193-8040-b330264b1963.jpg
"백오이, 2kg, 1개",,,12000,"(1개당12,000원)",내일(일) 새벽도착 보장,267,600,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3912270759084813-a51b03cc-62aa-4698-bcfe-49215ab6a3a7.jpg
"못생겨도 맛있는 백오이, 5개입, 1개",23,6280,4830,(1개당966원),내일(일) 새벽도착 보장,14066,241,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1846449668587119-5a4fd1a1-bf69-408a-a001-b5dcd1f71900.jpg
"아삭오이, 5개입, 1개",,,6490,"(1개당1,298원)",내일(일) 새벽도착 보장,1594,325,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1175200293095749-20101ce6-6ee1-405d-b490-484a00eec847.jpg
