name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"아라보감 산소 품은 국산 전복 500g, 500g(중,8-10미), 1개",31,26000,17900,"(100g당3,580원)",모레(월) 새벽도착 보장,9614,845,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/d0ac/f258d9654b56bf45fab1ee530a244f2017bf8f37ad3e2f3e4699e8799322.jpg
"다복 청정바다를 담은 활전복 1kg, 대(11~12미), 1개",31,50000,34230,"(100g당3,423원)",모레(월) 새벽도착 보장,10816,1661,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/04/13/9/96a88e96-8edb-490a-a6c3-c493bed0b136.jpg
"아라보감 완도 산지직송 전복 (냉장), 320g 내외(대, 5마리), 1개",20,16900,13400,"(100g당4,188원)",모레(월) 새벽도착 보장,221,645,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/uy2o1e0c/ff7a86abcf294afd99c06feb9df9a0f9.jpg
"다복 청정바다를 담은 활전복 500g, 500g(중 7~8미), 1개",50,29000,14450,"(100g당2,890원)",모레(월) 새벽도착 보장,3418,722,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/04/13/1/0c91252f-80fa-4ff6-8a48-4e1cce42969a.jpg
"다복 청정바다를 담은 활전복 중, 250g(4~5마리), 1팩",3,11440,11050,,모레(월) 새벽도착 보장,2555,548,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7839576694152997-72f5c771-2d8e-419b-b01e-5b0092840ff7.jpg
"다복 청정바다를 담은 CAS로 급냉한 순살 전복 + 내장 (냉동), 120g, 1팩",25,17600,13120,"(100g당10,933원)",내일(일) 새벽도착 보장,5466,656,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_1_max3k/2498/b0b8996db47215209d104c17cabe26e4c79ccb9e4c41611cdf5a6c3efbfa.jpg
"아라보감 산소 품은 국산 전복 1kg, 대(9~10미), 1개",41,63000,36890,"(100g당3,689원)",모레(월) 새벽도착 보장,8150,1840,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/04/14/11/6/6c72b4e5-0d31-4c2a-8803-12f9b369d42d.jpg
"아라보감 갓잡아 얼린 국산 전복 (냉동), 350g(4마리), 1개",,,17500,"(100g당5,000원)",내일(일) 새벽도착 보장,1167,875,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/11/04/13/7/a8d73985-7eb2-471d-8836-e0c6c69c9b84.jpg
"다복수산 CAS로 급냉한 전복 5미 (냉동), 280g, 1팩",4,16000,15300,"(100g당5,464원)",내일(일) 새벽도착 보장,6960,765,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/02/02/18/8/91ca64ae-a458-4648-833d-6acd59e4964d.jpg
"아라보감 명품전복세트, 1kg(특대, 7~9미), 1세트",18,78900,64340,"(100g당6,434원)",모레(월) 새벽도착 보장,464,3217,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/04/13/16/6/890acd19-f56c-46a6-bb2d-3ed1666e7f0c.jpg
"다복수산 CAS로 급냉한 자숙 전복 5미 (냉동), 220g, 1팩",28,16000,11490,"(100g당5,223원)",내일(일) 새벽도착 보장,1917,500,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/01/05/11/5/bf2a42fd-9d60-4a33-9965-1cb7124a41bf.jpg
"다복 CAS 급속동결 슬라이스 전복살 (냉동), 1개, 130g",,,19500,"(100g당15,000원)",내일(일) 새벽도착 보장,23,975,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/11/28/15/5/91c30882-b1c0-48f9-bdd9-ffb352aa0c20.jpg
"다복수산 CAS로 급냉한 전복 3미 (냉동), 215g, 1팩",4,16000,15300,"(100g당7,116원)",내일(일) 새벽도착 보장,146,765,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/01/05/11/2/a132b219-650e-4d20-b411-3501e0e76a15.jpg
"다복 청정바다를 담은 CAS로 급냉한 순살 전복 85g + 버터 20g (냉동), 1세트",,,16000,,내일(일) 새벽도착 보장,142,800,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3539281623821431-f371b1a9-8513-4e82-ac54-ccaa3fc606e4.jpg
"아라보감 산채로 데친 국산 전복살 (냉동), 200g, 1개",,,26600,"(100g당13,300원)",내일(일) 새벽도착 보장,251,1330,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/15123214989104300-02ae571a-9b39-4941-b249-02ffad44ab46.jpg
"아라보감 갓잡아 얼린 국산 전복 (냉동), 350g(소 8~9미), 1개",,,16000,"(100g당4,571원)",내일(일) 새벽도착 보장,493,800,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/01/20/16/8/abd52102-c165-4e63-8c0e-4289fe6b1add.jpg
"다복수산 CAS 급속동결 순살 전복 + 버터 10g (냉동), 60g(3미), 1팩",,,12800,,내일(일) 새벽도착 보장,16,640,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/463362299517973-04894953-8934-4a6c-ba0c-98e9f339c37d.jpg
"아라보감 자연산 명품전복세트(특대) 1kg 7~9미, 1세트",26,162000,119000,"(100g당11,900원)",모레(월) 새벽도착 보장,5,5950,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/32273978063111-ac8dc62d-2ebd-4c83-b034-dfde44d54422.jpg
"아라보감 바닷속 그대 국산 자연산 전복 프리미엄 1kg, 특대(7~9미), 1개",26,170000,124270,"(100g당12,427원)",모레(월) 새벽도착 보장,23,6214,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/04/14/11/6/e2015486-b440-4519-affc-c9f946762ed1.jpg
"또또 완도전복순살 (냉동), 160g, 1봉",,,22600,"(100g당14,125원)",내일(일) 새벽도착 보장,781,1130,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/18/16/6/b794dab3-1914-448b-bd35-d5f181c62b54.jpg
"다복 CAS 급속동결 순살전복 4미 (냉동), 80g, 1팩",,,15230,"(100g당19,038원)",내일(일) 새벽도착 보장,11,761,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/07/15/17/7/0a7dbad4-a961-46e8-922b-1a2b9a5a51cf.jpg
"B&G 조리하기 간편한 말랑말랑 전복살 (냉동), 60g, 2개",,,20500,"(100g당17,083원)",내일(일) 새벽도착 보장,103,1025,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/303244023299215-9e7bf2d8-e69f-4f41-910f-647a06573a96.jpg
"탱글탱글 자숙전복 (냉동), 500g, 1개",,,32900,"(100g당6,580원)",내일(일) 새벽도착 보장,58,1645,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/03/15/18/6/be8e2306-9747-4a18-90dd-8cc3242244b7.jpg
"아라보감 ASC 인증 명품전복 세트 (냉장), 1kg(특대 7~9미), 1박스",13,79900,69000,"(100g당6,900원)",모레(월) 새벽도착 보장,47,3450,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/12/08/16/1/ad9474f1-e25d-44c5-9271-7ec30e7308c5.jpg
"다복 CAS 급속동결 버터구이용 순살전복 6마리 (냉동), 210g, 1개",,,34000,"(100g당16,190원)",내일(일) 새벽도착 보장,209,1700,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/04/21/16/3/3949c246-0a8a-4250-8116-6c17e1bb776e.jpg
"다복수산 CAS로 급냉한 전복 3미 (냉동), 280g, 1팩",6,23000,21500,"(100g당7,679원)",내일(일) 새벽도착 보장,72,1075,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/02/02/18/3/aa0b25d2-298f-49f0-95cc-dac7e228c80a.jpg
"건강의섬완도 완도바다 자숙 손질전복 3미 (냉동), 80g, 1개",23,9990,7690,"(100g당9,613원)",,57,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/q6plftoi/391c8d9bac0746c59d849007fdf69368.jpg
"곰곰 CAS로 급냉한 순살 전복과 내장 (냉동), 240g, 1개",,,25960,"(100g당10,817원)",,47,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1923688424334542-4d8ee255-4e2e-47ed-9752-77b185611cf3.jpg
"건강의섬완도 완도바다 자숙 손질전복 3미 (냉동), 80g, 1개",,,7690,"(100g당9,613원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/q6plftoi/391c8d9bac0746c59d849007fdf69368.jpg
"다복수산 CAS로 급냉한 자숙 꼬마전복살 40~50마리 (냉동), 300g, 1개",1,32000,31540,"(100g당10,513원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/03/19/18/4/5e6263d3-8d35-4ff1-9dfc-16566b2fff6b.jpg
