name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"가리비 관자살 (냉동), 대 30/40 500g, 1개",37,15900,9990,"(100g당1,998원)",내일(일) 새벽도착 보장,4213,500,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/418a/5914011e6aff15f42ef15436c891b24d57a591b534b5b83626ef3c732981.jpg
"살맛나요 깨끗하게 손질된 가리비관자살 (냉동), 500g, 1개",10,17550,15700,"(100g당3,140원)",내일(일) 새벽도착 보장,5393,715,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8404071625379131-de7fe1e7-f28a-4663-b488-318ec0e7458d.jpg
"신선작 키조개 관자살 31/40 (냉동), 400g, 1개",,,16990,"(100g당4,248원)",내일(일) 새벽도착 보장,1476,650,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/03/17/5/b9b242be-c30d-4f62-9fc6-58348e67a6d0.jpg
"은하수산 국내산 키조개 관자 슬라이스 구이용 (냉장), 150g, 1개",,,17900,"(100g당11,933원)",내일(일) 새벽도착 보장,17,895,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/15/17/7/ca292d78-bf90-4bf0-b7af-217accc43d98.jpg
"신선작 키조개 관자살 41/50 (냉동), 400g, 1개",,,16700,"(100g당4,175원)",내일(일) 새벽도착 보장,340,635,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/10/26/14/5/88047ef7-79c3-4889-845b-718c5c39b287.jpg
"자연산 키조개관자 4~5미 (냉동), 1개, 200g",,,13300,"(100g당6,650원)",내일(일) 새벽도착 보장,1,625,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/vdrpnrki/482f3d409b874f41a9649d541cc735bd.jpg
"피시원 국내산 키조개 관자 (냉동), 350g(중, 10~12미), 1개",,,28500,"(100g당8,143원)",내일(일) 새벽도착 보장,94,1275,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/20/11/9/af7a3075-c45d-4509-8f2a-e6c25878158c.jpg
"신선씨푸드 가리비 관자살 (냉동), 500g, 2개",,,33520,"(100g당3,352원)",내일(일) 새벽도착 보장,3,1676,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ig57e44p/437a7f5fbb794305ac86f4ed91a03e4d.jpg
"세웅 자연산 가리비 관자살 (냉동), 300g, 1개",,,23500,"(100g당7,833원)",내일(일) 새벽도착 보장,910,1055,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/04/08/18/7/d54592be-3e6e-4bb3-a901-a0397cff15a0.jpg
"가리비 관자살 (냉동), 1개, 500g",12,13650,11900,"(100g당2,380원)",내일(일) 새벽도착 보장,540,595,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8346101022420142-26650408-3021-4ef1-8a38-8ff28f3a71e8.jpg
