name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"바이오션 주꾸미 (냉동), 500g(10~15마리), 1개",16,10640,8920,"(100g당1,784원)",내일(일) 새벽도착 보장,2865,446,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/blkfump3/81ba36dc8031448ebc9995fce2154509.jpg
"The더착한 절단쭈꾸미 (냉동), 1kg, 1개",,,15500,"(100g당1,550원)",내일(일) 새벽도착 보장,1223,775,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/23/18/9/20ccff42-4aa9-4283-a87d-b0e76864b471.jpg
"알찬해 손질 주꾸미 (냉동), 500g, 1개",,,10880,"(100g당2,176원)",내일(일) 새벽도착 보장,1040,465,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5822201050802746-6216aba4-7313-49eb-8329-ec15d780e3b5.jpg
"고마워 통통 쭈꾸미 (냉동), 800g(60~65미), 1개",,,12900,"(100g당1,613원)",내일(일) 새벽도착 보장,372,645,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_6_max3k/bd36/f9bde9355337cc2eb53e65967c5a1f82805ec9705858dbd95caba6818489.jpg
"곰곰 요리하기 편한 손질 주꾸미 (냉동), 400g, 1개",14,9290,7910,"(100g당1,978원)",내일(일) 새벽도착 보장,1314,395,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/978420557206399-21411bf9-2ea6-4a60-b01b-7a41d7cdd92a.jpg
"살맛나요 탱글탱글 손질된 주꾸미, 400g, 1개",,,10990,"(100g당2,748원)",내일(일) 새벽도착 보장,650,550,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/08/17/18/4/eb2028f6-b775-4d5c-af28-532e5331b727.jpg
"프리미어 손질되어 간편한 탱글 통주꾸미 (냉동), 650g, 1개",,,12890,"(100g당1,983원)",내일(일) 새벽도착 보장,2101,645,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3124291090205636-8b6694b6-0a96-4b05-8d03-def15a5dc56e.jpg
"청정한씨푸드 냉동쭈꾸미 15미 (냉동), 2.4kg, 1박스",,,35000,"(100g당1,458원)",내일(일) 새벽도착 보장,50,1750,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/23/18/2/e0d4fa9b-7e8c-430d-87cd-f5ec91657c49.jpg
"신선씨푸드 주꾸미 400g*2, 400g, 2개입",,,13600,"(100g당1,700원)",내일(일) 새벽도착 보장,430,680,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/28/19/1/2faed511-724e-4128-8896-3594b913f495.jpg
"김씨밥 쭈꾸미 (냉동), 1kg, 1봉",,,23930,"(100g당2,393원)",내일(일) 새벽도착 보장,30,1196,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/15758643773388678-431ef6a2-a0a3-488e-8a88-e63e9ad5af3f.jpg
"The더착한 절단쭈꾸미 대 (냉동), 850g, 1개",,,18600,"(100g당2,188원)",내일(일) 새벽도착 보장,16,930,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/23/18/9/af792a12-b2e3-48e6-843b-87953d466fca.jpg
"The더착한 절단쭈꾸미 특대 (냉동), 850g, 1개",,,20100,"(100g당2,365원)",내일(일) 새벽도착 보장,18,1005,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/23/18/9/6fa96e0e-0c3b-45db-aa4d-2210b62f0e34.jpg
"살맛나요 싱싱한 상태로 얼린 통주꾸미 (냉동), 1kg, 1팩",,,16000,"(100g당1,600원)",내일(일) 새벽도착 보장,120,800,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/11/24/18/3/4f7baa84-215c-4e2a-89ff-180e3598bc17.jpg
"신선씨푸드 절단 주꾸미 500g, 1개",,,11400,"(100g당2,280원)",내일(일) 새벽도착 보장,5,570,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/28/19/3/79e04aea-a240-4a34-9b0e-03ef511b3c66.jpg
"바이오션 절단주꾸미 (냉동), 900g(대), 1개",,,16280,"(100g당1,809원)",내일(일) 새벽도착 보장,253,814,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/13/15/1/addddeb5-ff15-4d9a-9e19-3ad853a78e23.jpg
"씨픽 손질 주꾸미 (냉동), 200g(6마리), 2개",,,7700,"(100g당1,925원)",내일(일) 새벽도착 보장,9,385,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/mpqlukkv/438e31b1478e46488c4141a045b7245e.jpg
"바이킹마켓 쭈꾸미 (냉동), 200g, 1개",,,8300,"(100g당4,150원)",내일(일) 새벽도착 보장,2,415,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/13/18/4/95e043b3-fa69-4d51-a316-dfd94f16ad39.jpg
"깨끗이 손질된 쭈꾸미 (냉동), 3개, 200g",,,10040,"(100g당1,673원)",내일(일) 새벽도착 보장,99,502,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/12/06/13/3/9228fbf9-bee0-4348-b439-513501ead4f8.jpg
