name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"오뚜기 맛있는 오뚜기밥, 210g, 12개",24,13980,10560,(100g당419원),오늘(일)도착 보장,1624,528,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6699723052460672-825a4ed6-a39e-4f88-8daa-bdea686c0cd0.png
"양반 현미밥, 130g, 24개",29,28800,20210,(100g당648원),오늘(일)도착 보장,10174,1010,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1237954167000478-5b27108a-ee70-4e14-b605-181191a57bcb.jpg
"맛있는 오뚜기밥 큰밥, 300g, 18개",,,26500,(100g당491원),오늘(일)도착 보장,28,1325,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3546686594988653-eb3bbf09-f0b5-4dc7-b785-bf88361d2b46.png
"오뚜기 맛있는 작은밥, 150g, 30개",27,38400,27960,(100g당621원),오늘(일)도착 보장,243,1398,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2977696261983765-7dee9be9-0152-4f89-b9b0-82df030ed227.png
"맛있는 오뚜기밥 발아현미, 210g, 12개",17,17760,14700,(100g당583원),내일(월) 새벽도착 보장,204,735,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3584923932740464-0c47562d-543d-4480-a50d-f28b8ec7afd6.jpg
"오뚜기 밥, 210g, 3개",26,4080,2980,(100g당473원),오늘(일)도착 보장,693,149,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5658277324512386-7e3e4c6b-af87-4178-8c9c-bbf11876865b.jpeg
"오뚜기 오뚜기밥 찰현미-, 210g, 12개",32,21920,14700,(100g당583원),오늘(일)도착 보장,5915,735,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3588890104368289-bee68395-c884-4716-a127-359aecd8b8ac.jpg
"양반 밥, 130g, 24개",28,26400,18900,(100g당606원),오늘(일)도착 보장,1766,945,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/549484406845386-51ea1e61-381e-464a-a589-647fc58a55c3.jpg
"오뚜기 가뿐한끼 현미밥, 150g, 30개",23,38400,29340,(100g당652원),내일(월) 새벽도착 보장,363,1467,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/762790048558441-5351e053-5b1b-4fd5-8ae3-7d649931c8f9.png
"더미식 백미밥, 210g, 6개",33,12000,7960,(100g당632원),오늘(일)도착 보장,2674,398,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/374393861698318-9c3e8914-1917-4190-9c70-91b0b4d0d031.jpg
