name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"맑은물에 전통식품 인증 정학님 전통 청국장, 160g, 4개",,,13500,"(100g당2,109원)",내일(일) 새벽도착 보장,1846,675,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/11/03/16/7/e69a8697-666c-4936-8453-520108e50ccc.jpg
"맑은물에 구수한 청국장, 5입, 200g",,,11000,"(100g당1,100원)",내일(일) 새벽도착 보장,2215,510,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/11/08/9/2/17714383-9379-42c5-9625-1eddd18f2334.jpg
"프레시오늘 냄새 약하고 영양가득 진한 윤성순장모님 청국장, 160g, 2개",,,8800,"(100g당2,750원)",내일(일) 새벽도착 보장,1317,440,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4680945360089537-2dc4bfd5-7787-4bf3-b760-bfec9ea898e2.jpg
"맑은물에 파주 장단콩 국산 청국장 2입, 400g, 1개",,,7900,"(100g당1,975원)",내일(일) 새벽도착 보장,676,365,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1213133210178812-5b940424-9427-4fdd-ac9d-ff888c9f0c71.jpg
"권기옥 명인 웃말 황토방 청국장, 200g, 1개",5,7000,6640,"(100g당3,320원)",내일(일) 새벽도착 보장,5105,332,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5054352242068759-9f2a63ec-a089-4c88-a008-e563da54170e.jpg
"맑은물에 청국장, 1kg, 1개",,,7500,(100g당750원),내일(일) 새벽도착 보장,84,338,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/haxs5f0j/4b0f0c48d6934a499fc5b39aae04a86c.jpg
"담가 전통 청국장, 500g, 1개",,,10000,"(100g당2,000원)",내일(일) 새벽도착 보장,690,436,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1659100381766443-ce31c252-ba46-450e-a0f2-27e40d454fb6.jpg
"맑은물에 정학님 전통 청국장, 160g, 2개",,,7500,"(100g당2,344원)",내일(일) 새벽도착 보장,3688,375,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2093884799198868-7c04b077-3cee-472c-be95-6631faf96eda.jpg
"풀스키친 우리콩 전통청국장, 1kg, 1개",,,21990,"(100g당2,199원)",내일(일) 새벽도착 보장,11,1100,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/xuyxq6ys/c2bc64cd762e4e23a91d8397d53209aa.jpg
"맥 조선 간장 생청국장, 160g, 3개",,,15300,"(100g당3,188원)",내일(일) 새벽도착 보장,106,765,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/09/10/14/6/f7dddc43-2e83-424d-bb4f-499185d54fef.jpg
"맥 전통식품 인증 청국장, 180g, 3개",,,16800,"(100g당3,111원)",내일(일) 새벽도착 보장,300,840,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/09/10/14/4/556ab132-cfc1-49c2-88c8-d69942cfce03.jpg
"담가 묵은지 청국장, 200g, 3개",,,18600,"(100g당3,100원)",내일(일) 새벽도착 보장,172,795,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1622584762915907-45e75cc1-71f8-495c-9e70-e25c6cdebee4.jpg
"맑은물에 정학님 전통 청국장, 1kg, 1개",,,22000,"(100g당2,200원)",내일(일) 새벽도착 보장,668,1100,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1139255393895121-8ef58990-3391-4379-baca-52ab14f36211.jpg
"순창문옥례식품 전통식품 인증 우리콩 청국장, 3개, 200g",,,12000,"(100g당2,000원)",내일(일) 새벽도착 보장,112,600,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2366818153230141-3cd316d9-0841-4800-83e6-caaea2e34f02.jpg
"담가 묵은지청국장, 500g, 1개",,,14000,"(100g당2,800원)",내일(일) 새벽도착 보장,251,630,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1830686912301911-60feb82f-327b-4937-8ac6-45772527ad43.jpg
"프레시오늘 냄새 약하고 영양가득 진하고 고소한 윤성순장모님 서리태청국장, 160g, 2개",,,14600,"(100g당4,563원)",내일(일) 새벽도착 보장,47,730,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4680819021490460-02b019bd-cd50-4cde-8b58-a3dfa0938451.jpg
"김구원선생 장단콩으로 만든 청국장, 180g, 2개",,,9000,"(100g당2,500원)",내일(일) 새벽도착 보장,264,450,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1603351346558871-050da8ae-7061-46b6-bce8-5b380354065e.jpg
