name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"소보꼬 한우 볶음고추장, 250g, 1개",4,17500,16800,"(100g당6,720원)",내일(일) 새벽도착 보장,74,840,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3250388392763748-3a97d287-a814-416e-9f46-88e8f59cce64.png
"청정원순창 직화맛 쇠고기 볶음고추장, 60g, 3개",,,6900,"(100g당3,833원)",내일(일) 새벽도착 보장,123,345,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/01/10/16/5/8f7ad28e-c7cb-46b1-8de6-afaea501d3f5.jpg
"주비푸드 양념듬뿍 초고추장, 500g, 1개",,,7200,"(100g당1,440원)",내일(일) 새벽도착 보장,6,360,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/hb9g2p6q/bde51ce201694039ad760d37008634d5.jpg
"에이치쿡 비빔 초고추장 소스, 2kg, 1개",,,10900,(100g당545원),내일(일) 새벽도착 보장,6,463,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/514509552482175-78a44bd3-1a26-4c28-84bc-6591ea3acd9d.jpg
"담가 순창일품 초고추장, 300g, 1개",2,6970,6790,"(100g당2,263원)",내일(일) 새벽도착 보장,130,304,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/05/26/14/3/b879f010-09c3-41d0-90a8-b9ce8f7cc475.jpg
"오뚜기 오쉐프 만능비빔장, 1개, 2kg",,,9000,(100g당450원),내일(일) 새벽도착 보장,67,450,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/01/04/14/1/073205b0-b531-43ac-84cf-e293677a5b68.jpg
"청정원순창 초고추장, 2.05kg, 1개",56,17500,7540,(100g당368원),내일(일) 새벽도착 보장,26,377,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4194134605973706-162e2830-8176-4980-b33e-6cda2340e30e.jpg
"잘식비 해운대 양념초장, 350g, 1개",3,3500,3370,(100g당963원),내일(일) 새벽도착 보장,35,169,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/d4jongir/4d6c7309277246409eb699f039a84fba.jpg
"움트리 양념 초장, 1kg, 1개",,,5490,(100g당549원),내일(일) 새벽도착 보장,545,275,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6953784888993645-8c5cd2d6-0182-4a1e-a9b6-74d118f89770.jpg
"팔도 비빔장 시그니처, 1개, 380g",,,5560,"(100g당1,463원)",내일(일) 새벽도착 보장,1944,278,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3120667263682115-0a029e3b-e203-4fd7-880e-ec8f593a430b.jpg
"오뚜기 비빔장, 500g, 1개",5,4860,4590,(100g당918원),내일(일) 새벽도착 보장,646,230,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/128166133587560-e3243885-69e7-41e5-9aec-50a83d9b79dc.jpg
