name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"돌아온 한남동 휘카레 순한맛, 180g, 3개",,,14690,"(100g당2,720원)",오늘(일)도착 보장,923,735,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5715542412787993-0e311409-d73c-42de-9e18-c41d87e390cd.jpg
"오뚜기 3분 쇠고기카레, 200g, 24개",42,45120,25920,(100g당540원),내일(월) 새벽도착 보장,2,1296,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4398565633629828-2b90a7de-974f-4911-bc51-3f0ccb2d2563.png
"휘카레 돌아온 한남동 매운맛, 180g, 3개",,,14690,"(100g당2,720원)",오늘(일)도착 보장,668,735,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7790225752901316-f50310fc-b7f9-45b9-a773-bcb486689756.jpg
"오뚜기 백세 카레 약간매운맛, 1kg, 1개",,,9240,(100g당924원),오늘(일)도착 보장,181,462,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1749199315118222-c288a65a-084a-443f-826b-d81c226392b9.jpg
"3분 카레 순한맛, 200g, 24개",47,48120,25400,(100g당529원),내일(월) 새벽도착 보장,217,1270,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3821533689657163-15733d79-8934-4c07-b48a-9036b3e0ca6c.jpg
"에스앤비골든 카레 아주 매운맛, 220g, 3개",11,12900,11400,"(100g당1,727원)",오늘(일)도착 보장,402,570,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/191772012462778-fa52d88d-6d59-45db-91a6-071903db20b9.jpg
"농심 하우스 바몬드카레 약간매운맛, 115g, 10개",,,20750,"(100g당1,804원)",내일(월) 새벽도착 보장,225,1038,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1138333996021768-f629b0b3-d08e-4f27-bc03-8ced0a1f43b2.jpg
"매일유업 상하키친 버터치킨카레, 170g, 3개",,,11150,"(100g당2,186원)",오늘(일)도착 보장,48,558,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8054230411120518-20874cdc-d92d-4e75-a24b-955bd9cfe2ac.jpg
"오뚜기 짜장 깊고 풍부한맛, 1kg, 1개",,,9050,(100g당905원),오늘(일)도착 보장,1047,453,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/823572920522847-2673f6bc-18b8-46b5-89fe-6a346b786904.jpg
"오뚜기 컵밥 톡톡참육 실쏙팩 톡톡김치알밥 4p + 참치마요덮밥 4p + 제육덮밥 4p 세트, 3.116kg, 1세트",24,32880,24690,(100g당792원),내일(월) 새벽도착 보장,8,1235,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2940752607737063-63473445-f46b-4cfd-ad1d-b6747abf9e24.jpg
"청정원 정통 짜장 분말, 1kg, 1개",,,8550,(100g당855원),오늘(일)도착 보장,53,428,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4177485340144460-74a644ee-b220-4437-8d7e-a5fd06cbbbaa.jpg
