name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"피시원 신진도 산지직송 이력추적 가을 햇꽃게, 1kg(3~5미), 1박스",21,15900,12500,"(100g당1,250원)",모레(월) 새벽도착 보장,255,620,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5491105116027326-3799511e-0864-48d6-b716-e40471c21d29.jpg
"피시원 신진도 산지직송 이력추적 가을 햇꽃게, 2kg(6~10미), 1개",22,28900,22500,"(100g당1,125원)",모레(월) 새벽도착 보장,1098,1120,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/3igaatrg/b05e75de0cac4fdf9d236ec26c985cc3.jpg
"간편손질 국산 꽃게 (냉동), 500g, 1개",16,11900,9900,"(100g당1,980원)",내일(일) 새벽도착 보장,8365,495,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4432940134455795-d0b84da3-dfca-4903-acdd-868d2ee2dfb4.jpg
"바다미식회 살이꽉찬 국내산 통암꽃게 (냉동), 700g(중, 3~4마리), 1개",,,16700,"(100g당2,386원)",내일(일) 새벽도착 보장,831,835,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/23/16/7/9621d9ec-2361-4a6b-b165-868c6beada01.jpg
"바이킹마켓 싱싱한 활 대게 (냉장), 1kg 내외, 1박스",,,79900,"(100g당7,990원)",모레(월) 새벽도착 보장,456,3995,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/09/01/14/8/13e73331-91bd-4383-a5eb-00303cc553dc.jpg
"바다미식회 살이꽉찬 국내산 알배기 절단꽃게 (냉동), 500g, 1개",19,18990,15300,"(100g당3,060원)",내일(일) 새벽도착 보장,2040,765,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/20/18/8/e092d819-a991-4f0e-99a0-3aa3c7ff9b4c.jpg
"러시아산 대게 섹션 (냉동), 2kg(7~8편), 1개",,,87500,"(100g당4,375원)",내일(일) 새벽도착 보장,820,4370,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3721852598811620-e2cad1ee-0d1d-434f-9828-efd16f774728.jpg
"비비수산 국산 서해 손질꽃게 (냉동), 500g, 1팩",16,11900,9900,"(100g당1,980원)",내일(일) 새벽도착 보장,1450,490,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/10/06/10/8/23ef659c-56ed-406f-84c4-498fad8012e2.jpg
"피시원 신진도 산지직송 가을 자망 햇꽃게, 3kg(9~12미), 1개",28,49990,35800,"(100g당1,193원)",모레(월) 새벽도착 보장,814,1785,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/hgptfpo2/2585c7f06dff4a03aa485a960db3da79.jpg
"살맛나요 깨끗하게 손질된 절단 꽃게 (냉동), 450g (5~6미), 1팩",,,7780,"(100g당1,729원)",내일(일) 새벽도착 보장,2427,289,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6761943215844686-dc784732-19ca-4946-b083-f063ac07bc10.jpg
"피시원 국산 살이 많은 숫꽃게 급냉 대 7-8미 (냉동), 2kg, 1개",,,37900,"(100g당1,895원)",내일(일) 새벽도착 보장,429,1745,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/10/21/16/1/ec3be661-d31f-43f3-ab8f-0e966dc00a0a.jpg
"냉동 꽃게 1kg (냉동), 1개",19,20990,16990,"(100g당1,699원)",내일(일) 새벽도착 보장,16,850,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/277114215564970-0420092b-8f2b-41d9-94e4-03ebf489f019.jpg
"갯마을 꽃게짱 조미구운게 2개입, 300g, 1개",,,12770,"(100g당4,257원)",내일(일) 새벽도착 보장,14,639,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/nv5x1wi6/ac25fee7b77b462ea24b266ef9c9c141.jpg
"바다미식회 국내산 소라게발 (냉동), 1kg(중, 40~55개), 1개",,,19900,"(100g당1,990원)",내일(일) 새벽도착 보장,248,995,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5312811207516604-dab687cf-8185-4b26-b769-3477970e8db7.jpg
"바다미식회 살이꽉찬 국내산 알배기 손질꽃게 2절 (냉동), 500g, 1개",16,19990,16700,"(100g당3,340원)",내일(일) 새벽도착 보장,880,835,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/20/18/9/f5ddf463-7c0b-499e-b39e-77f370b1880f.jpg
"싱싱특구 손질된 한마리 대게 (냉동), 500g, 1팩",4,32400,30900,"(100g당6,180원)",내일(일) 새벽도착 보장,178,1545,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/02/15/8/240a5399-8d4e-4363-90df-1db5c6501e77.jpg
"든게진게 국내산 게살 큐브 6 (냉동), 180g, 1개",,,13700,"(100g당7,611원)",내일(일) 새벽도착 보장,1385,535,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1939601919172642-3e3fed7f-23af-4adb-a185-8560f7816ea0.jpg
