name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"폰타나 나폴리 뽀모도로 토마토 파스타소스, 1.5kg, 1개",23,14170,10900,(100g당727원),내일(일) 새벽도착 보장,1830,545,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/104650309781555-ce5497b1-d25d-4c8a-baf2-26fce44fce4c.jpg
"청정원 아라비아따 스파게티소스, 2kg, 1개",,,12680,(100g당634원),내일(일) 새벽도착 보장,972,634,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4283206422228034-efe38f5a-87f6-44b4-9b54-3f5d39727f87.jpg
"청정원 토마토 스파게티소스, 1개, 2kg",14,15000,12800,(100g당640원),내일(일) 새벽도착 보장,833,640,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/460116147622128-84052486-451b-4d25-9097-957693d20a89.jpg
"청정원 로제 스파게티 소스, 2kg, 1개",,,12730,(100g당637원),내일(일) 새벽도착 보장,3582,636,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1946009836748046-0e2b8697-a071-464c-820e-48aabcd51a22.jpg
"폰타나 뽀모도로 토마토 파스타소스 430g + 베이컨&머쉬룸 크림 파스타소스 430g, 860g, 1세트",31,13480,9230,,내일(일) 새벽도착 보장,5350,461,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5397202464097771-d64d1138-183b-447d-8085-eeb1e178c34c.png
"풀스키친 토마토어니언 피자소스, 1kg, 1개",,,9900,(100g당990원),내일(일) 새벽도착 보장,112,495,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/27/10/0/c20afbdf-1682-427b-b2e1-71bb61037dab.jpg
"코다노 토마토스파게티소스, 2kg, 1개",,,9650,(100g당483원),내일(일) 새벽도착 보장,2961,483,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3554163152195802-df1640ea-7626-4001-8a93-ceb9959f331c.jpg
"풀무원 풀스키친 이태리식 토마토 스파게티소스, 1개, 2kg",,,20000,"(100g당1,000원)",내일(일) 새벽도착 보장,7,1000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/10/26/14/6/4884abda-f903-45e6-a7bf-80842cd556ac.jpg
"풀무원 풀스키친 뽀모도로 스파게티 소스, 1kg, 1개",,,12000,"(100g당1,200원)",내일(일) 새벽도착 보장,21,600,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/10/26/17/4/5be7a113-cbaa-4703-8d79-0877635f72a2.jpg
"풀무원 풀스키친 구운갈릭 앤 어니언 토마토 스파게티 소스, 1kg, 1개",,,11000,"(100g당1,100원)",내일(일) 새벽도착 보장,15,550,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/10/26/17/8/6f2d7a95-2563-4972-ace7-da3ccfd47860.jpg
"풀무원 풀스키친 칠리 토마토 스파게티 소스, 1kg, 1개",,,11900,"(100g당1,190원)",내일(일) 새벽도착 보장,21,595,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/10/26/14/7/04f52d2a-4abc-4794-9015-6a2649af1940.jpg
"hcook 토마토스파게티소스, 2kg, 1개",,,11900,(100g당595원),내일(일) 새벽도착 보장,6,535,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/287232058951199-c4180cd5-6166-4a15-adec-9679ea283950.jpg
"폰타나 나폴리 뽀모도로 토마토 파스타소스, 610g, 1개",1,4390,4310,(100g당707원),내일(일) 새벽도착 보장,3727,215,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/296408213657767-bfda89d0-2722-4263-b14f-0e4f92c8b65b.png
"맛투데이 더 맛있는 스파게티 리조또 토마토 스튜 소스 (냉동), 500g, 1개",,,9900,"(100g당1,980원)",내일(일) 새벽도착 보장,3,495,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/12/05/16/2/f06a7e2d-c6dd-4916-8d06-74f4ebf2f98c.jpg
"오뚜기 오쉐프 스파게티 소스, 3kg, 1개",,,12000,(100g당400원),내일(일) 새벽도착 보장,159,600,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2018/12/26/3000998141/e169ed26-b057-4990-8b29-b6afaae9d578.jpg
"맛투데이 더 매운 해장 스파게티 리조또 토마토 스튜 소스 (냉동), 500g, 1개",,,9900,"(100g당1,980원)",내일(일) 새벽도착 보장,1,495,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5618255433909603-89ac2e1d-c4ea-4bb0-89a9-2daf10b77a80.jpg
"맛투데이 매운 스파게티 리조또 토마토 스튜 소스 (냉동), 500g, 1개",,,9900,"(100g당1,980원)",내일(일) 새벽도착 보장,3,495,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/158471997395270-de027f38-42b4-4d00-859c-0b7b84728afd.jpg
"바릴라 바질 페스토 소스, 1개, 190g",17,9980,8190,"(100g당4,311원)",내일(일) 새벽도착 보장,126,410,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/992405697302779-d1856b58-7b51-4acb-8eda-f1728b7bda60.jpg
"폰타나 시칠리아 페페론치노 아라비아따 파스타소스, 610g, 1개",,,5110,(100g당838원),내일(일) 새벽도착 보장,2840,255,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2531182948237133-2e3ff2c3-ae6f-40b1-b31f-867b29848dc6.jpg
"아리기 바질페스토, 190g, 1개",,,5130,"(100g당2,700원)",내일(일) 새벽도착 보장,27,256,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/05/20/9/5/a98bf21f-88c1-46ad-9f02-ad56aaa33480.jpg
"청정원 치즈크림스파게티소스, 250g, 1개",12,3200,2800,(10g당112원),내일(일) 새벽도착 보장,205,140,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/169067993634281-63c21b2b-3603-43c8-8059-3a62daf67161.crdownload
"오뚜기 프레스코 마늘 앤 양파 스파게티소스, 600g, 1개",5,4980,4700,(100g당783원),내일(일) 새벽도착 보장,36,235,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/242095903496675-f91c8451-d6f1-45d4-ba9d-ca22a3174c61.jpg
"청정원 싱글 파우치 머쉬룸 투움바 소스, 150g, 1개",36,2480,1580,"(100g당1,053원)",내일(일) 새벽도착 보장,78,79,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/cye2dt7o/0498013c5cbe4b53a7ed1b6e692e2446.jpg
"청정원 싱글 파우치 볼로네즈 토마토 파스타소스, 1개, 140g",,,2070,"(100g당1,479원)",내일(일) 새벽도착 보장,106,104,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/01/10/14/9/c4e5c7c3-c536-4c77-ba9c-14656df6803e.jpg
"청정원 아라비아따 스파게티 소스, 1개, 600g",1,4650,4570,(100g당762원),내일(일) 새벽도착 보장,396,229,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/07/11/0/a7bde631-ef0b-428b-9348-3e942f0462be.jpg
"오뚜기프레스코 미트 파스타 소스, 600g, 1개",13,5380,4650,(100g당775원),내일(일) 새벽도착 보장,1901,233,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3839511058929467-fd22ecb7-4689-4d8a-b02c-ca6f73e98cda.jpg
