name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"국내산 창녕 깐마늘, 1kg, 1개",,,9400,(100g당940원),내일(일) 새벽도착 보장,13039,470,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2438824373453123-7210887b-0db2-4f8a-9246-f59cd568360d.jpg
"국내산 깐마늘, 2kg, 1봉",15,18940,15960,(100g당798원),내일(일) 새벽도착 보장,429,798,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_1_max3k/98db/71418d159dc8fbe654c83771d0c246b17e426ac9e465a61b803361d102ec.jpg
"남도 깐마늘, 1kg, 1개",,,11990,"(100g당1,199원)",내일(일) 새벽도착 보장,5933,600,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6776077994846684-d1aa0b22-c397-4fd9-a4fb-e3fe06eeaa5d.jpg
"남도 저민마늘, 200g, 1개",,,5980,"(100g당2,990원)",내일(일) 새벽도착 보장,1371,299,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6165188638375310-ed3948b0-22b2-4810-a93a-62b1e42c0e41.jpg
"국내산 유기농 깐마늘, 500g, 1개",,,11900,"(100g당2,380원)",내일(일) 새벽도착 보장,1652,595,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/85012944288473-e35e34d8-3c3f-48bb-a902-de6e8090f680.jpg
"우리땅 유기농 인증 간편 저민마늘 (냉동), 250g, 1통",,,5700,"(100g당2,280원)",내일(일) 새벽도착 보장,38,285,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/12/14/3/c6ef0335-ea16-47e4-8bf9-f563bcff51b7.jpg
"무안 깐마늘, 1kg, 1팩",4,9400,8990,(100g당899원),내일(일) 새벽도착 보장,1513,450,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_4_max3k/4512/cde157cd1363c82472ea2f2b64056710447b1aaf5aac8f426274484a3706.jpg
"푸드야 구운마늘 하프컷 (냉동), 500g, 1팩",,,8660,"(100g당1,732원)",내일(일) 새벽도착 보장,66,433,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/02/11/17/7/36b235d3-c995-41f8-a7e5-a13e289dd4d0.jpg
"꼭지제거 깐마늘, 1kg, 1개",,,11500,"(100g당1,150원)",내일(일) 새벽도착 보장,1768,575,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_2_max3k/47c1/265d34a285f02a6fe0322d984a63de0a2a007bfaa9d3205d1b447818fe20.jpg
"국내산 통마늘, 1kg, 1개",17,10900,8980,(100g당898원),내일(일) 새벽도착 보장,7606,449,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/69717142730412-7076db93-62fd-46be-9a2b-436bef0d42be.jpg
"곰곰 친환경 깐마늘, 200g, 1개",,,4700,"(100g당2,350원)",내일(일) 새벽도착 보장,35278,235,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8386621251813215-7ea88646-1362-4fa6-847f-9a6ba7e08279.jpg
"친환경 저민마늘, 50g, 1개",,,3590,"(100g당7,180원)",내일(일) 새벽도착 보장,1533,180,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9192581270545390-00ea205e-e858-4e7c-bd43-2cdd7a71c12d.jpg
"곰곰 국내산 깐마늘, 1kg, 1개",8,9800,8980,(100g당898원),내일(일) 새벽도착 보장,150050,449,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4551533114258255-9306ccbd-c187-4f66-ab73-3ef9b3e42925.jpg
"곰곰 국내산 깐마늘(대), 500g, 1개",,,5990,"(100g당1,198원)",내일(일) 새벽도착 보장,6515,300,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5756941920981130-5d7895d7-84d3-42b2-af1b-d3012b5ece47.jpg
"국내산 깐마늘, 300g, 1개",,,3690,"(100g당1,230원)",내일(일) 새벽도착 보장,96060,185,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3107145016028238-ad09e4d2-c851-44d1-ac78-10d484d4561f.jpg
"의성깐마늘, 300g, 1개",33,5590,3730,"(100g당1,243원)",내일(일) 새벽도착 보장,13696,186,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2173996795801707-d8ce8d76-0897-4a10-be77-a9b4bfcfb0ba.jpg
"국내산 깐마늘, 80g, 1개",,,990,"(100g당1,238원)",내일(일) 새벽도착 보장,24661,50,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1245521295790002-ba376a2f-873c-467a-937e-2d49dbbb8273.jpg
"곰곰 국내산 깐마늘, 500g, 1개",19,6170,4990,(100g당998원),,314,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3249629988015456-76cb76c8-76db-490c-bc16-ddadd65599f6.jpg
"국내산 깐마늘, 200g, 1개",,,2460,"(100g당1,230원)",,411,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6332660849526376-a951ecdf-92d5-4051-ac71-f3f05c40572f.jpg
"곰곰 국내산 깐마늘, 200g, 1개",,,2470,"(100g당1,235원)",,628,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/879884764934934-beefe96d-06e6-4733-b733-77e0fc6f3dcc.jpg
"곰곰 국내산 깐마늘, 1kg, 1개",8,9800,8980,(100g당898원),,1438,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4551533114258255-9306ccbd-c187-4f66-ab73-3ef9b3e42925.jpg
"국내산 깐마늘, 500g, 1개",3,5180,4990,(100g당998원),,534,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3396114545749460-05949968-7d6b-4bab-8ced-91c88a872d31.jpg
"곰곰 국내산 꼭지제거 깐마늘, 130g, 1개",,,3280,"(100g당2,523원)",,1401,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6441940439352964-caae4e5a-0f9b-4039-a3a5-2d6c97f1d080.jpg
"국내산 친환경 깐마늘, 150g, 1개",29,4480,3180,"(100g당2,120원)",,7550,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2186326961143077-8f5a1e6e-e1f8-4262-a498-b1cd41605341.jpg
"곰곰 국내산 창녕 깐마늘, 500g, 1개",,,5490,"(100g당1,098원)",,25527,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/69624026292181-010666e7-5d0b-486e-bac6-4d8e38d077ec.jpg
"국내산 깐마늘, 500g, 1봉",,,5430,,,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/05/18/15/8/228cf95f-65b3-4bfa-a9e5-eff9cea087e9.jpg
"국내산 깐마늘, 1kg, 1봉",,,10860,,,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/05/18/15/8/228cf95f-65b3-4bfa-a9e5-eff9cea087e9.jpg
"푸드야 구운마늘 하프컷 (냉동), 500g, 1팩",,,8660,"(100g당1,732원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/02/11/17/7/36b235d3-c995-41f8-a7e5-a13e289dd4d0.jpg
"국내산 깐마늘, 100g, 1개",,,1230,"(100g당1,230원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9286754749687958-55fccf1b-6555-4c32-a269-d0a83bc4b611.jpg
"창녕 알싸한 깐마늘, 1kg, 2봉",,,21900,"(100g당1,095원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/12729896932748484-be3cf577-b063-4acb-97aa-cd1554bd30eb.jpg
"친환경 통마늘, 800g, 1개",,,11990,"(100g당1,499원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/23675327477154-42a95772-ad00-4b58-a485-231deed77019.jpg
"국내산 깐마늘, 800g, 1개",,,7970,(100g당996원),,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/69732439828652-2289bcce-4987-4760-a054-8420711e489a.jpg
"곰곰 국내산 창녕 깐마늘, 300g, 1개",,,3690,"(100g당1,230원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/69638509930409-f7712768-e97d-48a5-ae2e-d9ef7c6be445.jpg
"우리땅 유기농 인증 간편 저민마늘 (냉동), 250g, 1통",,,5700,"(100g당2,280원)",,7,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/12/14/3/c6ef0335-ea16-47e4-8bf9-f563bcff51b7.jpg
"서산 육쪽마늘, 1kg, 1개",11,16900,14970,"(100g당1,497원)",,60,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3925719945579184-9cc998da-3e96-4ffc-84e2-a3b15a6f94de.jpg
"국내산 통마늘, 1kg, 1개",17,10900,8980,(100g당898원),,104,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/69717142730412-7076db93-62fd-46be-9a2b-436bef0d42be.jpg
"국내산 깐마늘(대), 150g, 1개",,,2290,"(100g당1,527원)",,51,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/10916859323953970-f318af14-84b2-4e59-9ce0-82b8371f68f0.jpg
"국내산 깐마늘, 2kg, 1봉",15,18940,15960,(100g당798원),,29,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1659176625751720-18ddf67d-d23a-4b43-bce2-752d7461e2dc.jpg
"곰곰 서산 육쪽마늘, 1kg, 1개",,,16000,"(100g당1,600원)",,151,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7467486321334349-2071f88d-4260-47a5-9da6-2c7ca7dbd7bb.jpg
"국내산 저민마늘, 150g, 1개",13,4600,3990,"(100g당2,660원)",,105,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2173927646969025-2c6eff12-3c31-4ca2-bdc6-6eef85cd4d5c.jpg
"곰곰 국내산 꼭지제거 깐마늘, 130g, 1개",,,3280,"(100g당2,523원)",,63,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6441940439352964-caae4e5a-0f9b-4039-a3a5-2d6c97f1d080.jpg
"무안 깐마늘, 500g, 1팩",16,5980,4990,(100g당998원),,54,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1109792622859125-f30390f6-d6a4-445c-a50a-404651c87853.jpg
"유기농 인증 국내산 깐마늘, 500g, 1봉",,,9290,"(100g당1,858원)",,11,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/08/21/15/3/3858692a-caa8-4461-86e4-3a8502804980.jpg
"국내산 깐마늘, 800g, 1개",,,7970,(100g당996원),,114,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/69732439828652-2289bcce-4987-4760-a054-8420711e489a.jpg
"곰곰 친환경 깐마늘, 1개, 200g",,,4700,"(100g당2,350원)",,154,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/181740237687938-87d09e9d-e3ee-40f5-b0a1-20f80b9129f6.jpg
"국내산 창녕 깐마늘, 1kg, 1개",,,9400,(100g당940원),,157,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2438824373453123-7210887b-0db2-4f8a-9246-f59cd568360d.jpg
"남도 깐마늘, 300g, 1개",,,3600,"(100g당1,200원)",,55,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6160228647587122-259e38d9-32f3-4e77-aaeb-94a96994fed4.jpg
"친환경 저민마늘, 1개, 50g",,,3590,"(100g당7,180원)",,154,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9192581270545390-00ea205e-e858-4e7c-bd43-2cdd7a71c12d.jpg
"곰곰 국내산 창녕 깐마늘, 300g, 1개",,,3690,"(100g당1,230원)",,96,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/69638509930409-f7712768-e97d-48a5-ae2e-d9ef7c6be445.jpg
"국내산 친환경 깐마늘, 150g, 1개",29,4480,3180,"(100g당2,120원)",,131,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2186326961143077-8f5a1e6e-e1f8-4262-a498-b1cd41605341.jpg
"국내산 친환경 꼭지제거 깐마늘, 200g, 1개",,,6980,"(100g당3,490원)",,147,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/63875018437360-6ea9a394-6b7d-4013-a261-8724e4a37f5e.jpg
"의성깐마늘, 300g, 1개",33,5590,3730,"(100g당1,243원)",,161,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/966043085519616-0585ed8c-e400-4fab-9897-42cb66033c43.jpg
"국내산 깐마늘, 500g, 1개",3,5180,4990,(100g당998원),,62,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3396114545749460-05949968-7d6b-4bab-8ced-91c88a872d31.jpg
"무안 깐마늘, 1kg, 1팩",4,9400,8990,(100g당899원),,119,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5668685559529727-90d584ec-e69e-43d8-9540-521b9a2772fe.jpg
"국내산 친환경 깐마늘, 800g, 1개",7,14200,13180,"(100g당1,648원)",,176,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2525720684265289-c6196d11-5670-4b00-a6c9-8a2ae42abcb7.jpg
"곰곰 국내산 꼭지제거 깐마늘, 200g, 1개",,,4880,"(100g당2,440원)",,133,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/377448909644223-0e8d0400-f297-4d61-b03d-fc410df88b89.jpg
"남도 저민마늘, 200g, 1개",,,3600,"(100g당1,800원)",,128,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6165188638375310-ed3948b0-22b2-4810-a93a-62b1e42c0e41.jpg
"곰곰 국내산 깐마늘(대), 500g, 1개",,,5990,"(100g당1,198원)",,179,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5756941920981130-5d7895d7-84d3-42b2-af1b-d3012b5ece47.jpg
"남도 깐마늘, 1kg, 1개",,,10500,"(100g당1,050원)",,160,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6776077994846684-d1aa0b22-c397-4fd9-a4fb-e3fe06eeaa5d.jpg
"남도 깐마늘, 500g, 1개",,,5470,"(100g당1,094원)",,135,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6777516592056787-42d375a6-d5e0-4d3a-928a-4b85e1038e54.jpg
