name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"못생겨도 맛있는 표고버섯, 500g, 1개",,,5990,"(100g당1,198원)",내일(일) 새벽도착 보장,11711,300,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3735002313794384-da6dec06-b162-4c1e-8623-97fec49a3a92.jpg
"못생겨도 맛있는 친환경 표고버섯, 1kg, 1개",3,11420,11070,"(100g당1,107원)",내일(일) 새벽도착 보장,1216,554,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2209179403445143-a0ef05fb-ab70-4a93-a8de-39b7cd4069e6.jpg
"국내산 표고버섯(특품), 1kg, 1개",,,16990,"(100g당1,699원)",내일(일) 새벽도착 보장,471,850,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/719044603198977-aff62b1c-aec8-44ac-ab50-ac9decd5e1dc.jpg
"우리땅 유기농 인증 간편 표고버섯 (냉동), 90g, 5개",,,13150,"(100g당2,922원)",내일(일) 새벽도착 보장,112,658,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/03/12/15/7/e1892c12-8955-41e7-ab88-ec406bc9847b.jpg
"국내산 표고버섯, 1kg, 1개",,,16000,"(100g당1,600원)",내일(일) 새벽도착 보장,1037,800,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/718894932921512-a6464aa7-e2f4-4245-8ada-079e3e89b294.jpg
"유기농 표고버섯, 300g, 1개",,,6290,"(100g당2,097원)",내일(일) 새벽도착 보장,2061,315,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13948093234904470-a63f14f9-0246-450c-81e7-2e5d078997bc.jpg
"GAP 인증 국내산 표고버섯, 350g, 1팩",8,6970,6400,"(100g당1,829원)",내일(일) 새벽도착 보장,10122,320,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/c62a/46b7cec403d09aa7eab9a98eae5ebc823b07027611214e860d331ea6f896.jpg
"향표고 슬라이스, 150g, 1개",,,5380,"(100g당3,587원)",내일(일) 새벽도착 보장,663,269,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/90746874616794-0d4f5d7d-0094-449b-a169-982f6b0728a4.jpg
"GAP 표고버섯, 300g, 1개",,,4890,"(100g당1,630원)",내일(일) 새벽도착 보장,3142,245,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/786149325122426-caeedcb3-1e7b-4ddd-a5bb-a9ca3c26d5aa.jpg
"친환경 표고버섯, 300g, 1개",,,4990,"(100g당1,663원)",내일(일) 새벽도착 보장,13672,250,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8328882762413642-428144c0-a9ab-4fc5-9280-612320764e4b.jpg
"GAP 인증 청양 표고버섯 화고, 200g, 1팩",,,5980,"(100g당2,990원)",내일(일) 새벽도착 보장,719,299,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/04/28/14/4/edf99092-701b-42d5-aa1c-fff98fac1f3c.jpg
