name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"해맑은푸드 대용량 황태채 실속형 (냉동), 500g, 1개",9,19800,17980,(10g당360원),내일(일) 새벽도착 보장,15751,899,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4432975462171328-1e41013e-fbff-4d96-93d9-27fd9c9bf7d7.jpg
"아라장 손질 황태실채 (냉동), 300g, 1개",,,18900,(10g당630원),내일(일) 새벽도착 보장,87,945,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/17/10/7/6bf03379-f8a7-49ad-9233-25fff5676dfe.jpg
"해맑은푸드 손질 황태채 (냉동), 360g, 1개",,,19900,(10g당553원),내일(일) 새벽도착 보장,2108,945,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_5_max3k/6cb1/65689d95ba7f928049b38d7f0ba866c8256d956f7d158c2386b80cba2e1f.jpg
"곰곰 황태채, 200g, 1개",6,7750,7260,(10g당363원),내일(일) 새벽도착 보장,10837,363,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/6ba5/a4270d8547546214ea6660e974647893eb96436d2ce9532eaa635f8de0d1.jpg
"해야미 강원도 덕장 손질 먹태채 (냉동), 400g, 1봉",,,20900,(10g당523원),내일(일) 새벽도착 보장,3551,975,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/669252046634395-77d1f476-b3d0-4bc4-bcf9-bf463b079d11.jpg
"주일 자연건조 덕장명인 용대리 황태채 (냉동), 150g, 1개",,,9900,(10g당660원),내일(일) 새벽도착 보장,4775,495,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/279780252742013-ca065222-5395-4e07-b993-4795b7f4943e.jpg
"고소하고 담백한 황태포 4미 (냉동), 1팩",,,10500,,내일(일) 새벽도착 보장,1069,525,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/10/23/16/5/be1c75a7-b9b1-4688-b20d-de0c08da1a21.jpg
"두번구워 찢은 손질먹태 160g + 와사비마요 15g x 3p + 전주 가맥소스 15g x 3p, 1세트",2,14900,14570,,내일(일) 새벽도착 보장,5570,679,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3281049621711045-16a1f801-167a-4be8-be20-ba73347ccc47.jpg
"대용량 황태채 (냉동), 1kg, 1개",,,29900,(10g당299원),내일(일) 새벽도착 보장,836,1495,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/10/29/10/7/66db7110-6691-4702-8616-adaf033ebcb6.jpg
"조혜정의멸치연구소 황태채 (냉동), 200g, 1개",9,8290,7490,(10g당375원),내일(일) 새벽도착 보장,2137,365,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/669064967404046-08585396-5d4c-41ac-a78b-3ec03ce44e72.jpg
"누리해찬 실속 황태채 (냉동), 1개",,,29800,(10g당298원),내일(일) 새벽도착 보장,,1480,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/07/05/10/6/f0a7680b-4dec-4e71-8b48-f4bd9c7ad78a.jpg
"삼천포에서 만든 명태실채, 120g, 1개",,,9900,(10g당825원),내일(일) 새벽도착 보장,67,495,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2582629233955913-236eb44a-a97a-4872-863f-edcc2aad0c8f.jpg
"해그린푸드 백두대간 문경새재 황태채 (냉동), 350g, 1개",,,16500,(10g당471원),내일(일) 새벽도착 보장,246,825,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/01/04/18/3/dafaa88e-fd94-46aa-931c-1d046fa9d68e.jpg
"해그린푸드 참 손질 먹태 (냉동), 90g, 3개",,,14500,(10g당537원),내일(일) 새벽도착 보장,2505,725,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/01/04/18/1/4552ce3b-75d6-4b07-926f-d82fb7f7ca07.jpg
"곰곰 먹태채 세트, 240g, 1개",,,11640,(10g당485원),내일(일) 새벽도착 보장,650,582,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_4_max3k/6230/8b2f4ca49220667119adc0685f098fa0802bd0f73b2626663c952451edcd.jpg
"주일 40년 외길 중부시장 김종풍 손질황태채 (냉동), 350g, 1개",,,19200,(10g당549원),내일(일) 새벽도착 보장,1084,960,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/12/07/18/2/290e8c1b-ed3d-4ade-bba9-2e8fe4f07c7b.jpg
"국내가공 러시아산 황태채, 300g, 1개",,,19500,(10g당650원),내일(일) 새벽도착 보장,72,975,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/11/17/18/3/304637cf-49ec-458c-9f00-8a9e0df2193f.jpg
"주일 40년 외길 중부시장 김종풍 쫄깃 깍둑 황태채 (냉동), 250g, 1개",1,16220,16020,(10g당641원),내일(일) 새벽도착 보장,13,801,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/22/18/2/58c223aa-9c10-41a9-95d3-0f0bcb2c3d5c.jpg
"순살먹태 중채 먹태채 (냉동), 500g, 1개",,,26500,(10g당530원),내일(일) 새벽도착 보장,109,1325,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/07/11/14/5/874530db-b9a5-4e71-b2aa-d80acc6f60a4.jpg
