name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"연세우유 전용목장 우유, 2300ml, 1개",,,7580,(100ml당330원),오늘(일)도착 보장,18157,379,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1318991259320802-0c19161f-3591-47b8-a03c-0408f027a722.jpg
"파스퇴르 무항생제 바른목장우유, 1.8L, 1개",25,12500,9300,(100ml당517원),오늘(일)도착 보장,85971,465,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1777724567904992-19ffe09f-f435-4013-b062-2851c0cc965f.jpg
"상하목장 유기농 우유, 125ml, 24개",29,28080,19800,(100ml당660원),오늘(일)도착 보장,12277,990,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3285488741052621-aadbc312-27c1-402f-8154-a59344b0f574.jpg
"서울우유 유기가공식품 인증 유기농우유, 2.3L, 1개",,,11960,(100ml당520원),오늘(일)도착 보장,11435,598,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/11/14/14/5/9bd791ed-3606-4b82-b431-001beb76b613.jpg
"남양유업 GT 슈퍼제로 락토프리 맛있는 우유, 900ml, 1개",,,2990,(100ml당332원),오늘(일)도착 보장,1,150,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/xhhercwu/47cabe38004b42cc8b06142653896ebf.jpg
"서울우유 클릭유 1A등급 우유, 180ml, 24개",10,17400,15500,(100ml당359원),오늘(일)도착 보장,86,775,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5806958360388864-023f5d7c-d2e1-4fb8-a8cf-03134e4bb300.jpg
"상하목장 유기농인증 우유, 750ml, 2개",,,10660,(100ml당711원),오늘(일)도착 보장,58326,533,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/09/23/3822099519/cb542735-7a38-47ae-aa7e-7739ab94012e.jpg
"서울우유 1급A우유, 3L, 1개",,,9540,(100ml당318원),오늘(일)도착 보장,1166853,477,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/4def/e03f8e362a82ec20efcfe2770e1a4b010e1ea926c71179773e0d19dccce5.jpg
"남양유업 맛있는 우유 GT, 200ml, 24개",28,20900,14980,(100ml당312원),오늘(일)도착 보장,27,749,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf40k_batch_2_max3k/8075/71089bd5305f768415c8e027c8be7ed2fa8261f0123849e4360a40b6fed9.jpg
"파스퇴르 바른목장 소화가 잘되는 우유, 2.3L, 1개",,,11900,(100ml당517원),오늘(일)도착 보장,2347,595,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/04/07/16/5/bcbf2764-98f0-41d0-9913-4757674e8c4e.jpg
"밀키스마 멸균 흰우유, 1L, 12개",25,28800,21500,(100ml당179원),내일(월) 새벽도착 보장,2502,1075,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8061597634916872-46ee5b74-bbf5-4188-8f48-0a8ddf78d9d6.jpg
"파스퇴르 유기농 우유, 125ml, 24개",15,24000,20360,(100ml당679원),내일(월) 새벽도착 보장,2413,1018,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_3_max3k/0f22/db9fe443823a077b119bf4c789f6e57b886009ffaf12cc55a6664afc75ad.jpg
"건국유업 무항생제인증 착한목장 우유, 2.3L, 1개",,,8740,(100ml당380원),오늘(일)도착 보장,10943,437,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/07/26/15/3/eb18f5bb-df36-4dc5-89f4-17aa1cfc820d.jpg
"상하목장 얼려먹는 아이스크림 밀크, 85ml, 24개",30,28800,20040,(10ml당98원),내일(월) 새벽도착 보장,5,1002,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7922938083131740-63bc9766-9d44-44e0-bfc1-30a91f869e11.png
"매일유업 소화가 잘되는 우유 단백질, 930ml, 2개",,,8160,(100ml당439원),오늘(일)도착 보장,6335,408,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/01/17/1/4e4bb3cf-2d4e-45b0-a257-75e68568bfee.jpg
"유기가공식품인증 우리울타리 우유, 950ml, 1개",,,7700,(100ml당811원),오늘(일)도착 보장,4111,385,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/10/15/13/3/23a41710-04ba-4f49-a466-565f6190d088.jpg
